labLocation         ,protectionLevel     ,labName             ,labId               
30 HAMEL TERRACE - FRESNO USA,6,INTERVET INTERNATIONAL B.V.,60085
90 ARMOUR AVENUE - PLANO SPAIN,9,NUTRICORP INTERNATIONAL,60086
42 THOMAS STREET - PEMBROKE PINES SPAIN,1,DYMOND DRUGS LTD.,60087
82 KETTEL GARDENS - FORT COLLINS SPAIN,0,SHEPHERD PHARMACEUTICALS INC.,60088
89 LAURENS LANE - ATHENS SPAIN,8,MODIFI PRODUCTS LLC,60089
22 FAHEY ESTATE - NEWARK UK,10,THE EMU MAN COMPANY L.C.,60090
88 GILLY TERRACE - BAKERSFIELD ISRAEL,4,FRESENIUS MEDICAL CARE DEUTCHLAND GMBH,60091
23 LILLIE BUILDINGS - FREMONT ISRAEL,2,GENERAL NUTRITION CANADA INC.,60092
90 KENDEL TERRACE - FREMONT ITALY,1,OSCIENT PHARMACEUTICALS CORPORATION,60093
80 POLLACK TERRACE - FORT LAUDERDALE ITALY,10,UP TIME SPORTS NUTRITION MEDICAL IND,60094
16 NISBET PLACE - PROVO UK,7,AVIR PHARMA INC,60095
94 CLEARY PARK - DENTON UK,2,PRAIRIE OXYGEN LTD,60096
10 MCCLELLAN LANE - ANN ARBOR GERMANY,6,FAULDING CONSUMER INC.,60097
80 PRENTIS CRESCENT - STOCKTON USA,0,ADEPT INC.,60098
8 EGGERTON ESPLANADE - CAMBRIDGE ISRAEL,1,DUREX CANADA DIVISION OF SSL CANADA INC.,60099
33 LACEY AVENUE - VICTORVILLE UK,7,LIFELINE-VITA PLUS,60100
76 WELSH DRIVE - HIALEAH ITALY,9,PEKANA-NATURHEILMITTEL GMBH,60101
2 STORM ROAD - ELIZABETH UK,1,RALSTON PURINA CANADA INC.,60102
86 CONNER LANE - JACKSON ISRAEL,5,TEC LABORATORIES INC.,60103
3 CORNELLIUS LANE - PROVO SPAIN,4,LAND ART INC.,60104
45 MOSELY DRIVE - ERIE SPAIN,1,RANDLE PHARMACEUTICAL INC.,60105
1 CALAHAN PARK - RANCHO CUCAMONGA SPAIN,4,LABS BIOTHERAX LABORATOIRES,60106
81 SOUTHERLAND TERRACE - GLENDALE GERMANY,2,NATUR CANADA INC.,60107
42 HELYER ROAD - JOLIET UK,1,SYNCARE PHARMACEUTICAL INC.,60108
44 AMORE STREET - KANSAS CITY GERMANY,9,ZO SKIN HEALTH INC,60109
62 FORSYTH CLOSE - PORTLAND SPAIN,7,HUNNISETT CHEMICALS LTD.,60110
97 AITKIN PARK - MESA ISRAEL,5,SKYLINE PRODUCTS LTD.,60111
83 HARRIE CLOSE - MANCHESTER USA,4,SEQIRUS UK LIMITED,60112
48 DUFFE SQUARE - AUSTIN UK,7,MARCAN PHARMACEUTICALS INC,60113
39 MULLAN CRESCENT - LANSING UK,9,HAWKNAD MANUFACTURING INDUSTRIES INC.,60114
17 POLLITT PLACE - LOWELL ITALY,4,VIRATEK INC.,60115
10 FRANKLIN LANE - LANCASTER ISRAEL,3,MONTICELLO DRUG COMPANY,60116
68 ATCHISON GROVE - ANCHORAGE FRANCE,3,KEATA PHARMA INCORPORATED,60117
87 EVERLEY BUILDINGS - MCKINNEY ISRAEL,7,HOLLISTER-STIER LABORATORIES LLC,60118
16 WAYNE LANE - BUFFALO ISRAEL,5,KAIRE INTERNATIONAL,60119
25 GILLIES PARK - SIMI VALLEY USA,7,YSL BEAUTÉ CANADA INC.,60120
75 EDON DRIVE - PHOENIX UK,4,HAWE-NEOS DENTAL  DR.H.V.WEISSENFLUH AG,60121
66 FROSTE TERRACE - STAMFORD SPAIN,8,OMNILIFE MANUFACTURA S.A. DE C.V.,60122
54 CANTRILL PLACE - PROVO GERMANY,7,WE CARE DISTRIBUTORS INC.,60123
7 LAMBER BUILDINGS - HAMPTON ISRAEL,4,NSC PHARMA GMBH & CO.KG,60124
13 BROOKS STREET - AUSTIN FRANCE,9,SMARTSHIELD SUNSCREENS,60125
32 STERLING PLACE - BURBANK FRANCE,4,CANADIAN HOME THERAPY LTD.,60126
66 ROSEWARNE PLACE - EVANSVILLE SPAIN,10,LES ENTREPRISES GASPESIA PHARMA INC.,60127
98 MEEHAN AVENUE - PEORIA ITALY,8,PRODUITS CHIMIQUES MAGNUS LTEE,60128
26 EVERATT CLOSE - NEW ORLEANS ITALY,9,AVENTIS BEHRING LLC,60129
62 BEASLEY STREET - ALBUQUERQUE USA,0,TRI-SUN - NORTH AMERICA,60130
29 CUMMINGS LANE - MODESTO ITALY,6,STERIPHARM INC.,60131
60 FEGAN AVENUE - HAMPTON ITALY,5,M.E. CODY INC.,60132
36 BAGGOTT ESTATE - ALEXANDRIA SPAIN,7,ECL PHARMA GROUP LTD,60133
92 BROOKBANKS ROAD - DETROIT ITALY,8,UNITED LABORATORIES INC.,60134
24 FINN CLOSE - HUNTSVILLE SPAIN,7,S.H. TWO HYGIENIC PACKAGING LTD.,60135
76 ALLSOPP PARK - OLATHE UK,2,3M CANADA COMPANY,60136
67 DEREK AVENUE - PATERSON USA,9,LABORATOIRE DR RENAUD INC,60137
75 CONNOLY DRIVE - TOPEKA FRANCE,1,RIVEX PHARMA INC.,60138
9 CHALLICE LANE - FONTANA GERMANY,0,HANSAMED LIMITED,60139
58 BRADLY SQUARE - BELLEVUE SPAIN,7,HILLESTAD PHARMACEUTICALS USA,60140
50 COLEY AVENUE - MIAMI USA,10,CHEMPRIZE LTD.,60141
41 STEED LANE - BALTIMORE ITALY,9,LES PRODUITS SANITAIRES SANOR INC.,60142
91 DANNIEL BUILDINGS - GILBERT UK,0,W.E. GREER LTD.,60143
12 COCKRANE GROVE - HUNTINGTON BEACH SPAIN,1,KYOWA KIRIN LIMITED,60144
64 JAYE GARDENS - TOPEKA GERMANY,10,DEB CANADA INC.,60145
86 DOLTON CRESCENT - EVANSVILLE GERMANY,6,EQUIBAL LABS INC,60146
77 BOADEN GROVE - WACO USA,6,GARRAUD-PARIS,60147
91 FRIEDMAN PLACE - GAINESVILLE GERMANY,0,HILLCREST MANUFACTURING,60148
85 LAURY TERRACE - OXNARD ISRAEL,6,LABORATOIRES LA ROCHE-POSAY CANADA,60149
93 GRAVES DRIVE - CHARLOTTE GERMANY,7,BOVIPHARM INC.,60150
15 RALEIGH BUILDINGS - NEW YORK ISRAEL,7,SEPTODONT INC,60151
87 HALLEY ESTATE - WILMINGTON GERMANY,8,NUTRIMMUNE TECHNOLOGIES INCORPORATED,60152
37 HARMON DRIVE - CLEARWATER USA,7,SCHULKE & MAYR G.M.B.H.,60153
61 DIX ROAD - MIAMI ITALY,8,EMD SERONO A DIVISION OF EMD INC CANADA,60154
67 BRANNAM BUILDINGS - TAMPA SPAIN,10,BECTON DICKINSON,60155
90 CAISEY DRIVE - MANCHESTER ISRAEL,8,WHISCO LIMITED,60156
49 HOWELS STREET - FORT WAYNE SPAIN,6,BRISTOL-MYERS CANADA INC.,60157
71 CARDWELL BUILDINGS - GILBERT UK,1,PHARMAKON LABORATORIES INC.,60158
95 FRIZZELL AVENUE - CORAL SPRINGS UK,4,MALLINCKRODT VETERINARY INC.,60159
6 RICHEY ROAD - MCALLEN FRANCE,7,TROJAN CHEMICALS,60160
18 LATIMER ESPLANADE - WESTMINSTER ISRAEL,7,COLOMER USA,60161
59 BERGEN AVENUE - MESA FRANCE,4,LAB SERIES DIST.,60162
97 ISSAC DRIVE - VIRGINIA BEACH USA,10,UNI-LIFE DIVISION OF SENNO CORP,60163
52 BLYTHE AVENUE - NEWPORT NEWS GERMANY,7,THE RESULTS COMPANY INC,60164
100 MCCULLOUGH CRESCENT - DENVER FRANCE,7,HOME SHOPPING NETWORK DIRECT,60165
68 BURGHER ROAD - NAPERVILLE ISRAEL,2,AMD MEDICOM INC,60166
27 LOUDON PLACE - OXNARD FRANCE,5,CELLTRION HEALTHCARE CO LTD,60167
2 JAY TERRACE - INDIANAPOLIS ISRAEL,8,GENESIS SUPPLIES INC.,60168
15 BROWNLEE PARK - TEMPE GERMANY,3,ULTRADENT PRODUCTS INC.,60169
30 NICKSON TERRACE - AMARILLO FRANCE,3,SLOAN JANSAN,60170
78 JOYCE ROAD - BALTIMORE USA,3,MARS CANADA INC,60171
84 LEASE CRESCENT - FORT LAUDERDALE USA,5,AQUARIUM PHARMACEUTICALS INC.,60172
46 ABBOTS AVENUE - TEMPE ITALY,4,KINSMOR PHARMACEUTICALS CANADA INC.,60173
84 ANSTEY PARK - WATERBURY UK,3,NF FORMULAS INC.,60174
77 DUGGON LANE - LAS VEGAS FRANCE,9,AMERICAN BIOLOGICS,60175
49 MORISON PARK - RANCHO CUCAMONGA ISRAEL,2,I&I PRODUCTS INC,60176
84 HOEY ESTATE - MANCHESTER USA,7,LIFIZZ VITAMINS INC.,60177
91 ARTHER GROVE - EUGENE USA,8,JA MANUFACTURING INC.,60178
99 NICKLESS PLACE - PITTSBURGH SPAIN,4,DOUGLAS LABORATORIES,60179
47 BAGNELL DRIVE - SAN JOSE ITALY,3,AMATE INDUSTRIES INC.,60180
19 ENTWISTLE ESPLANADE - GARLAND GERMANY,9,ABUNDANCE NATURALLY LTD,60181
92 STEED TERRACE - WATERBURY USA,2,ID BIOMEDICAL CORPORATION OF QUEBEC,60182
50 DURKAN GROVE - PATERSON GERMANY,10,TOLMAR INC,60183
87 BLEE SQUARE - ABILENE UK,0,TAYLOR PHARMACEUTICALS,60184
85 COHEN LANE - HONOLULU FRANCE,2,P.T. NEW TOMBAK FARMA,60185
90 KINCADE DRIVE - SUNNYVALE ISRAEL,1,ALK-ABELLO INC,60186
62 BURRAGE SQUARE - MANCHESTER GERMANY,5,ALEMBIC PHARMACEUTICALS LIMITED,60187
97 PENNEY ESPLANADE - MADISON SPAIN,3,BOIRON LABORATOIRES,60188
33 OSBORN PLACE - PITTSBURGH ITALY,9,G. HARDY WHOLESALE LTD.,60189
66 NOBEL BUILDINGS - JACKSON ISRAEL,7,GARDEN STATE NUTRITIONALS,60190
13 DRAPER CLOSE - MANCHESTER UK,3,PHARMASCIENCE INC,60191
67 WARRENER GROVE - MIAMI GARDENS FRANCE,10,FENWAL INC,60192
75 DAYMON ROAD - MIAMI GARDENS GERMANY,4,LEKIRA PHARMACEUTICALS INC.,60193
10 RANSOM SQUARE - WASHINGTON UK,10,MANDA PHARMA INC,60194
58 WALLIN AVENUE - DOWNEY GERMANY,3,KABI PHARMICIA INC.,60195
42 HIRT GROVE - PASADENA USA,3,MANNALAND VENTURE INC.,60196
42 LLEWELYN ESTATE - CAMBRIDGE ISRAEL,5,VIROPHARMA BIOLOGICS LLC,60197
88 GAWEN BUILDINGS - HARTFORD ITALY,0,NORBROOK LABORATORIES LTD.,60198
15 GEFFREY AVENUE - MIDLAND ISRAEL,4,SPORICIDIN INTERNATIONAL,60199
36 MICHELLS STREET - SANTA CLARA FRANCE,6,INTELLIPHARM INC,60200
48 DONALDSON CRESCENT - NASHVILLE ITALY,1,RENAL SYSTEMS DIVISION OF MINNTECH CORP.,60201
96 REED BUILDINGS - HONOLULU UK,9,SUNRIDER MANUFACTURING L.P.,60202
65 GIBBON SQUARE - WASHINGTON SPAIN,6,HAW PAR HEALTHCARE LIMITED,60203
68 KERN CRESCENT - PALM BAY ISRAEL,5,ZEP COMMERCIAL SALES & SERVICE,60204
100 MCEVOY ESTATE - AURORA ITALY,7,CUBIST PHARMACEUTICALS LLC,60205
49 DONAVAN TERRACE - GLENDALE FRANCE,8,NUTRIBON (1986) INC.,60206
87 BOURKE ESTATE - CLEVELAND FRANCE,3,JOUVEINAL INC.,60207
2 JARMAINE ESTATE - CORAL SPRINGS ISRAEL,3,JAMP PHARMA CORPORATION,60208
99 STUCKY LANE - LOS ANGELES FRANCE,4,J L MATHIEU CIE LTEE,60209
64 BREY STREET - TEMPE UK,5,NATURATEC (1979) LTEE/LTD.,60210
73 DANIELL CRESCENT - JACKSONVILLE SPAIN,4,JAMES ALEXANDER CORPORATION,60211
6 BRIAN CRESCENT - DALLAS UK,1,AMEDRA PHARMACEUTICALS LLC,60212
37 NEAL TERRACE - SALT LAKE CITY FRANCE,8,ORGANIKA HEALTH PRODUCTS INC.,60213
25 SIMMON ESPLANADE - OAKLAND FRANCE,2,WORLD MEDICO LTD.,60214
91 NICCOL AVENUE - EUGENE SPAIN,0,SUCAN INTERNATIONAL TRADING COMPANY,60215
40 COYNE LANE - CLEVELAND ITALY,7,MEYER ZALL LABORATORIES PTY LTD.,60216
21 RAWDON GARDENS - SIOUX FALLS SPAIN,3,LONDON DRUGS LIMITED,60217
52 ARMOUR DRIVE - FAYETTEVILLE ISRAEL,3,CORPORATION EMUOL,60218
76 HAZARD ESTATE - EL MONTE ISRAEL,0,IMPORT EXPORT SANTÉ NATURE INC.,60219
7 NEWMAN BUILDINGS - PHOENIX SPAIN,7,TRI-TEC COATINGS INC.,60220
52 COFFEE LANE - BRIDGEPORT ISRAEL,3,LEDERLE CYANAMID CANADA INC.,60221
66 WELSCH ESPLANADE - AUSTIN FRANCE,2,SMITH & NEPHEW INC,60222
62 HELYER LANE - OCEANSIDE FRANCE,4,VOGEL HEALTH FOODS LTD.,60223
77 HODGESON PLACE - PATERSON ITALY,8,CHEMEX CANADA,60224
23 RUSSEL GROVE - RANCHO CUCAMONGA FRANCE,10,ALTERNA LLC,60225
85 MCQUAIDE ROAD - ST PAUL UK,9,DIETISA S.A.,60226
6 RIDDEL PARK - SIMI VALLEY ISRAEL,2,MAYAKA INTERNATIONAL INC.,60227
57 RAY ESPLANADE - PROVIDENCE UK,1,THIERRY MUGLER PARFUMS,60228
54 WILBER GROVE - WILMINGTON USA,3,BIOLOGISCHE HEILMITTEL HEEL GMBH,60229
12 SAUNDERS TERRACE - MILWAUKEE UK,2,AKPHARMA INC.,60230
67 LONGMUIR LANE - COLUMBIA SPAIN,5,CADBURY ADAMS CANADA INC.,60231
87 RIAN ESPLANADE - POMONA ITALY,8,DALCAM SANITATION SOLUTIONS INC.,60232
78 KASPER LANE - JERSEY CITY FRANCE,0,IVAX LABORATORIES INCORPORATED,60233
62 FOLEY TERRACE - OLATHE USA,8,VORWERK & SOHN GMBH & CO. KG,60234
90 LEWEY DRIVE - WACO UK,2,CARESTREAM HEALTH CANADA COMPANY,60235
99 BETZ TERRACE - FORT WORTH SPAIN,10,GILEAD SCIENCES CANADA INC,60236
77 SHENNAN DRIVE - GARDEN GROVE SPAIN,7,INNOVATION LINE INC,60237
82 BOLTON ESPLANADE - PALMDALE ITALY,6,CENTOCOR B.V.,60238
84 HAGGEN GARDENS - NORFOLK GERMANY,10,PARFUMS DE COEUR,60239
35 DOWELL TERRACE - JERSEY CITY GERMANY,2,COUNTRY LIFE VITAMINS INC.,60240
73 NICHOLAS GROVE - NEW ORLEANS FRANCE,4,ANTEIS SA,60241
23 ROSEWORN TERRACE - SALT LAKE CITY ITALY,1,RAFTER 8 PRODUCTS INC,60242
37 THORNE BUILDINGS - RIVERSIDE SPAIN,1,SMITHKLINE CONSUMER PRODUCTS,60243
16 QUINTEN LANE - FORT WORTH ITALY,5,MC COMBER DISTRIBUTIONS,60244
90 BAGNALL ESTATE - OXNARD GERMANY,1,ROBERTS LAB LTD.,60245
83 SALMON SQUARE - COLUMBIA FRANCE,4,NU-VITE,60246
57 MEREDITH ESPLANADE - INGLEWOOD SPAIN,8,COWLING AND BRAITHWAITE,60247
77 BURG GROVE - ARVADA USA,1,PGE CANADA (86) INC.,60248
76 GILBRAITH ESPLANADE - JOLIET SPAIN,4,1297681 ONTARIO INC.,60249
48 HAREFIELD ROAD - TEMPE UK,0,TORRENT PHARMACEUTICALS LIMITED,60250
38 HAZE PARK - LEWISVILLE ITALY,9,GORDON FEEDS,60251
76 MORRISSY ROAD - CHULA VISTA SPAIN,6,INTERPHARM INC. LES PRODUITS PHARMS,60252
26 CODY PARK - SHREVEPORT ITALY,3,MARC ANTHONY COSMETICS INC.,60253
1 BARTON PARK - SHREVEPORT SPAIN,7,EVOLUS INCORPORATED,60254
53 MCEVOY LANE - COLUMBUS GERMANY,9,DRUMMOND,60255
83 GRACEY PLACE - NEW HAVEN USA,2,PROTECTIVE PRODUCTS,60256
65 FERGESON STREET - NORFOLK ISRAEL,2,PREMIER DENTAL PRODUCTS COMPANY,60257
83 BENTLY PLACE - LITTLE ROCK SPAIN,8,DESIGNER FRAGRANCES CANADA,60258
61 LOMAN AVENUE - CAMBRIDGE GERMANY,2,VITALAIRE CANADA INC,60259
55 HAREFIELD CLOSE - CHULA VISTA UK,8,INSTITUTO GRIFOLS S.A.,60260
87 SPALDING CRESCENT - BIRMINGHAM FRANCE,9,QUALITY SWINE CO-OPERATIVE,60261
28 ANDERSSEN BUILDINGS - COSTA MESA SPAIN,7,MYLAN BERTEK PHARMACEUTICALS INC.,60262
55 EDMOND AVENUE - CHATTANOOGA FRANCE,9,ENTERPRISES HPM,60263
43 CHAPEL PLACE - FREMONT GERMANY,5,MERZ PHARMA CANADA LTD,60264
73 BROWER BUILDINGS - NEW YORK ITALY,5,MORINDA CANADA,60265
76 FIRMIN PLACE - OCEANSIDE SPAIN,1,WOCKHARDT UK LTD,60266
65 LEGGOTT STREET - ATLANTA GERMANY,10,NOVA HOMEOPATHIC THERAPEUTICS INC.,60267
13 KEYES GARDENS - MANCHESTER UK,5,SMORDINS DISPENSARY LTD.,60268
63 BLACKMOOR PARK - CORONA FRANCE,1,UNIVAR CANADA LIMITED,60269
76 BAWDEN TERRACE - SPRINGFIELD GERMANY,0,HILLYARD INDUSTRIES INC,60270
25 CARLTON CRESCENT - ANN ARBOR SPAIN,7,PURE BIOSCIENCE INC.,60271
72 EGGLESTON TERRACE - ALLENTOWN SPAIN,8,PHARMACAL RESEARCH LABS INC,60272
14 PETTERSON DRIVE - RICHARDSON SPAIN,3,MARSAM PHARMACEUTICALS INC.,60273
1 CAMERON AVENUE - TOPEKA SPAIN,7,PHYTOMER,60274
62 KENYAN TERRACE - NEW ORLEANS SPAIN,5,GRACEWAY PHARMACEUTICALS,60275
23 EMMOTT ESPLANADE - RALEIGH USA,8,BFB VITAMIN DISTRIBUTORS OF CANADA LTD.,60276
36 CALLAHAN SQUARE - THORNTON FRANCE,10,HOPE PHARMACEUTICALS,60277
6 ALBRIGHT SQUARE - LANSING ISRAEL,10,CHANGES INTERNATIONAL,60278
3 DALGLEISH SQUARE - WESTMINSTER SPAIN,3,PATHOCEPT CORPORATION,60279
48 BAGGETT SQUARE - MIRAMAR GERMANY,8,SKIN MEDICA INC AN ALLERGAN COMPANY,60280
47 ALLEN CRESCENT - ARVADA ITALY,7,GULF BIO-SYSTEMS INC.,60281
6 DRANE SQUARE - DOWNEY UK,8,LORVIC CORP,60282
81 COLLINGS BUILDINGS - FULLERTON ISRAEL,6,DIET CENTER WORLDWIDE INC.,60283
41 AMPHETT ESTATE - SIOUX FALLS ITALY,1,JEROME MILTON INC.,60284
9 MCFADDEN AVENUE - ELGIN UK,7,A.L. LABORATORIES INC.,60285
27 CULLEN CRESCENT - CLEARWATER ISRAEL,4,HEALTHY ALTERNATIVES,60286
16 SIMONS TERRACE - BOISE FRANCE,7,NANCI CORPORATION INTL.,60287
58 LEASON AVENUE - TOLEDO UK,1,ADIENNE SA,60288
87 DONAVON CLOSE - PUEBLO USA,5,NEW-LIFE MILLS LTD.,60289
59 MCLELLAN GROVE - HAYWARD FRANCE,7,ADEPT CHEMICAL TECHNOLOGY INC.,60290
32 BLYTH DRIVE - IRVING SPAIN,5,THE PROCTER & GAMBLE COMPANY,60291
76 CARDWELL SQUARE - ORLANDO USA,10,ACERUS BIOPHARMA INC,60292
33 CALLENDER STREET - NAPERVILLE ITALY,6,BETHANY PRODUCTS INC.,60293
41 MCGINTY CRESCENT - FAIRFIELD ITALY,1,LEDA HEALTH INNOVATIONS INC.,60294
