medName             ,medType             ,medId               ,quantity            ,factCompany         
IDOLE NATURAL ORGANIC,Antiseptics,20036,12330,LABORATOIRE MIGAR LTÉE
HEADACHE VOMITING,Mood stabilizers,20037,62292,PIERRE FABRE PHARMA CANADA INC
GOODSENSE DIAPER RASH,Stimulants,20038,44779,HERBALIFE INTERNATIONAL OF AMERICA INC.
ATHLETE S FOOT,Stimulants,20039,76787,GENZYME CORPORATION
DALVANCE,Mood stabilizers,20040,65827,BOCKNEK LTD.
BETTER BREATH,Hormone replacements,20041,65220,ULTIMA HEALTH PRODUCTS INC.
AMPHADASE,Oral contraceptives,20042,52557,CHX TECHNOLOGIES INC
SUPER AQUA TONER,Stimulants,20043,99550,NATURE'S CURE INC.
INDIGESTION DIARRHEA,Oral contraceptives,20044,27222,BAVARIAN NORDIC AS
VOTRIENT,Hormone replacements,20045,2897,INTERNATIONAL DISTRIBUTION SYSTEMS INC.
MEDULLA OSSIUM 8,Mood stabilizers,20046,40576,TABERCO INC.
SUBOXONE,Hormone replacements,20047,83289,DEPRENYL RESEARCH LTD.
LONG LAST MAKEUP 05,Antipyretics,20048,41827,SPECTROPHARM INC.
ID ANTI ACNE,Antimalarial,20049,33168,PARROT INC.
PORCINE SECRETIN,Hormone replacements,20050,15030,TELIGENT CANADA INC
ECHINACEA SUPPORT,Tranquilizers,20051,59251,TEVA PHARMACEUTICAL INDUSTRIES LTD
WAL PHED,Antipyretics,20052,10261,HEINRICH MACK NACHFOLGER
BRUT OVERDRIVE,Stimulants,20053,95897,APOTEX INC
FRESHNAILS,Antiseptics,20054,86114,CUMBERLAND PHARMACEUTICALS INC
EUCALYPTUS POLLEN,Stimulants,20055,32511,VAN R DENTAL PRODUCTS INC.
QTERNMET XR,Antiseptics,20056,62410,KENRAL INC.
RUNNY NOSE,Oral contraceptives,20057,70808,COURTIERS DE L'EST DSD INC.
ENGLISH WALNUT,Statins,20058,48665,CADBURY ADAMS CANADA INC.
SCALLOP,Mood stabilizers,20059,88,GROUPE PARALL INC
HYDROXYZINE,Tranquilizers,20060,12830,KAM SCIENTIFIC INC.
SMOOTH BROME GRASS,Stimulants,20061,42602,CASSIDY LTD.
WAL-FEX,Oral contraceptives,20062,44493,BABSON BROTHERS COMPANY
SKIN ACTIVATOR,Antipyretics,20063,90297,UNIFEED
GADAVIST,Antibiotics,20064,61687,GLENWOOD LABORATORIES CANADA LTD.
EAR CARE EARACHE DROPS,Mood stabilizers,20065,14953,BLU-FIN DISTRIBUTORS OF CANADA LTD.
TENORETIC 50,Mood stabilizers,20066,61447,AQUAOXAN SOLUTION INC
E ENZYME,Stimulants,20067,12793,KOENDERS WATER SOLUTIONS
DR.G RED-BLEMISH CLEAR,Antimalarial,20068,81911,SKRETTING
MEDI-FIRST PEP-T-MED,Hormone replacements,20069,43533,NUTRITION PLUS PHARMACY LTD.
ONEREF 40 NUMBER 640,Antimalarial,20070,84003,THE MENTHOLATUM COMPANY OF CANADA LTD
PAIN RELIEF SLEEVE,Tranquilizers,20071,76901,SANITARY SUPPLIES & FOOD EQUIPMENT LTD.
HAIR AND NAILS FORMULA,Mood stabilizers,20072,41452,EASY MOTION ANIMAL PRODUCTS
TECENTRIQ,Oral contraceptives,20073,69539,ALOE VERA OF AMERICA INC.
NALFON,Hormone replacements,20074,11702,CONFORTMEDIC TECHNOLOGIES INC
SR RENEW,Antiseptics,20075,17389,CARAT PHARMACEUTICALS INC.
ARMONAIR DIGIHALER,Hormone replacements,20076,90050,NEW SPIRIT NATURALS INC.
AN ADC SP INTENSIVE BB,Stimulants,20077,82844,EURODELLE INC.
PREFEST,Analgesics,20078,48747,LES LABORATOIRES VACHON INC.
MALLY LIP DEFENDER,Antiseptics,20079,84083,ORION INTERNATIONAL INC.
LEADER CAPSAICIN,Statins,20080,30487,SPORICIDIN INTERNATIONAL
COLIC WITH GAS,Mood stabilizers,20081,22584,SWABPLUS CANADA INC.
RYVENT,Mood stabilizers,20082,65063,RW CONSUMER PRODUCTS LTD
LIPEN 40 (NUMBER 55),Antimalarial,20083,84370,ALTACOMP ENTERPRISES INC
SECALE CORNUTUM 200C,Tranquilizers,20084,37820,DECHRA LTD
DOCK/SORREL MIXTURE,Analgesics,20085,30949,1560678 ONTARIO INC.
GMC MEDICAL,Antimalarial,20086,49091,RAFTER 8 PRODUCTS INC
HARD MAPLE POLLEN,Antiseptics,20087,10348,LABORATOIRES DARPHIN
IMIPRAMINE PAMOATE,Hormone replacements,20088,98727,FREEMAN COSMETIC CORP.
AGGRASTAT,Antimalarial,20089,33043,AVONDALE (BRINNY) CHEMICAL COMPANY
ECO WHITENING,Oral contraceptives,20090,28358,AMGEN CANADA INC
LISINOPRIL 2.5MG,Oral contraceptives,20091,31528,DALCAM SANITATION SOLUTIONS INC.
TREATMENT SET TS340796,Statins,20092,998,LABORATOIRES KLORANE
SURGICAL SCRUB,Oral contraceptives,20093,46290,LABORATOIRES HOLIS INC.
ZINCUM MURIATICUM,Statins,20094,62873,ETHENA HEALTHCARE INC.
HAND WASHING,Mood stabilizers,20095,79802,ZICAM LLC
BITE RELIEF,Stimulants,20096,70306,WATER SOLUBLE SUPPOSITORIES INC.
CALMING DYNAMICS,Antipyretics,20097,20307,FAIRTRADE INTERNATIONAL CO. LTD.
BENZTROPINE MESYLATE,Mood stabilizers,20098,75292,IRIS ENRG LES DISTRIBUTIONS
PAZOL,Hormone replacements,20099,42676,VIPONT PHARMACETICAL INC.
SOMBRA COOL THERAPY,Mood stabilizers,20100,89059,MADAUS MURDOCK INC.
SIROLIMUS,Tranquilizers,20101,25503,CITADEL ANIMAL HEALTH
VISCUM MALI 10MG,Stimulants,20102,45188,CUMBERLAND SWAN HOLDINGS INC.
DIABINS 40 NUMBER 638,Antipyretics,20103,93416,NATIONWIDE NATURAL FOODS INC.
ALTAFLUOR,Antibiotics,20104,60108,BEE SMART PRODUCTS DIVISION
DEL-VI-A,Mood stabilizers,20105,79981,ALLFOOD PRODUCTS CANADA INC.
KALI TARTARICUM,Antiseptics,20106,36237,TOMMY HILFIGER TOILETRIES DIST.
TRI-LO-LINYAH,Antipyretics,20107,93842,NU-VITE
DOCTORRELIEF,Antibiotics,20108,33814,OPTIMUM WELLNESS HEALTH PRODUCTS LTD
CUMIN,Analgesics,20109,68196,WAKUNAGA PHARMACEUTICAL CO LTD.
LOMANATE,Antimalarial,20110,76253,TAP PHARMACEUTICALS INC.
TERCONAZOLE,Antiseptics,20111,54004,CHENCHIAM INC.
FEMALE LIBIDO,Statins,20112,28250,ECOLOGY SOLUTIONS INC.
HEAVY FLOW,Oral contraceptives,20113,76591,TOTAL SCIENCE CANADA INCORPORATION
OSCAR,Antiseptics,20114,35380,ADM LABO CANADA INC
ADAZIN,Oral contraceptives,20115,31147,TEISEN PRODUCTS
KALI PHOSPHORICUM,Oral contraceptives,20116,48978,BIOGEN CANADA INC
TREATMENT SET TS348491,Analgesics,20117,8154,GREY WOLF ANIMAL HEALTH INC
MINIVELLE,Analgesics,20118,21811,COLOR ME BEAUTIFUL INC.
COXSACKIE HOMOCHORD,Antipyretics,20119,85652,JMSR DISTRIBUTOR CANADA CO LTD
ZIDOVUDINE,Antibiotics,20120,15718,ARVIDIS INC.
DAY NIGHT COLD AND FLU,Antiseptics,20121,26939,FASHION FAIR LLC
FERRUM SIDEREUM SULFUR,Stimulants,20122,19717,BIOCRYST PHARMACEUTICALS INC
EMCYT,Hormone replacements,20123,88329,MID-CONTINENT AGRIMARKETING INC.
BIOVITA,Antipyretics,20124,46291,MALABAR FORMULAS
SAFETY COATED ASPIRIN,Statins,20125,59074,BAXTER CORPORATION
WHP BE GONE HAY FEVER,Analgesics,20126,49536,DREW MARINE
KLOR-CON SPRINKLE,Antipyretics,20127,50499,PIRAMAL CRITICAL CARE INC
LINCOMYCIN,Statins,20128,75169,HELENA RUBINSTEIN CANADA
INDAPAMIDE,Antipyretics,20129,67885,AMANO PIONEER ECLIPSE CORPORATION
CAFE MOCHA,Oral contraceptives,20130,69776,MID-CONTINENT AGRIMARKETING INC.
LENS CLEANER,Antimalarial,20131,62257,CORPACK CANADA
OSMIUM METALLICUM,Analgesics,20132,14044,LABITALY PHARMACEUTICALS INC
CAMILA,Statins,20133,28210,XAN CORP.
BETA 1 KIT,Oral contraceptives,20134,97600,ENTERPRISE PAPER CO. LTD
SCAL TONIC SHAMPOO,Antiseptics,20135,68757,COOK IMAGING CORPORATION
PETROLEUM 200C,Oral contraceptives,20136,76649,ETHYPHARM INC
TORONOVA II SUIK,Stimulants,20137,15298,SAGE PRODUCTS LLC
ALOE SUN ESSENCE,Antibiotics,20138,58305,PFIZER CANADA INC ANIMAL HEALTH GROUP
G-SUPRESS DX,Stimulants,20139,3476,AKUNA HEALTH PRODUCTS INC.
VERATRUM CHAMOMILLA,Antibiotics,20140,73674,INNOVUS PHARMACEUTICALS INC
SUN DEFENSE SPF 15,Statins,20141,77033,ULTRAVENA INDUSTRIES LIMITED
TROPHAMINE,Antibiotics,20142,80353,INTELLIPHARMACEUTICS CORP
BONTU 40 (NUMBER 537),Stimulants,20143,45366,WAKUNAGA PHARMACEUTICAL CO LTD.
SHOPRITE ACETAMINOPHEN,Antibiotics,20144,28368,LAB DIO-PRIS INC.
THERA DERM ROLL ON,Statins,20145,38825,LACTAID INC.
BECCA,Antipyretics,20146,56704,CROWN CHEMICAL PRODUCTS INC.
VITAMIN A,Statins,20147,40024,BLACKHAWK INDIAN REMEDY CO
BB FAIR,Antiseptics,20148,97270,SO-LEI PRODUCTS LTD.
FULVICIN P/G,Antibiotics,20149,3695,GREITER AG
QUETIAPINE FUMARATE,Antimalarial,20150,26110,SHISEIDO AMERICA INC
ISENTRESS HD,Statins,20151,39988,ADVANCED RESEARCH LABORATORIES
MIFEPREX,Antibiotics,20152,40077,LEGACY MANUFACTURING INC.
NEUTRA MAXX 5000,Tranquilizers,20153,98763,CANADIAN MILL SUPPLY CO LTD.
EVERGREEN SNOWMAN,Mood stabilizers,20154,79153,HERSHEY CANADA INC.
PARATHYROID,Mood stabilizers,20155,55718,NATURAL HEALTH PRODUCTS
TRI-LINYAH,Antibiotics,20156,41553,PHARMACOSMOS A/S
RED OAK,Mood stabilizers,20157,45708,HUVEPHARMA EOOD
LEVOCARNITINE,Antiseptics,20158,62264,DRM INC. LES ENTREPRISES
GERM SAFE,Statins,20159,99144,FRANCES DENNEY INC.
TORULA CEREVISIAE,Antipyretics,20160,28202,HERBION CANADA
FASPRIN,Antibiotics,20161,63551,MACO PHARMA
REPARA,Antipyretics,20162,25241,CUBIST PHARMACEUTICALS LLC
DUONEB,Analgesics,20163,85198,LAROSH DERMOCOSMETIC LABORATORIES INC.
BYVALSON,Antimalarial,20164,79566,FRESENIUS MEDICAL CARE DEUTCHLAND GMBH
CANADIAN BLUEGRASS,Mood stabilizers,20165,45248,DEPRENYL RESEARCH LTD.
BODY FADE CREME,Mood stabilizers,20166,85933,DEMONTIS INC. PRODUITS SANITAIRES
WEIGHT GLOSS,Antiseptics,20167,84512,GROUPE MARCELLE INC
DG HEALTH MUCUS RELIEF,Stimulants,20168,73263,ROSS CHEMPHARMA INC.
ZOOM WIPES,Antimalarial,20169,21914,COLOPLAST CORP.
ALPHALIN,Stimulants,20170,16489,3M CANADA COMPANY
LYMESODE,Stimulants,20171,44766,ECL PHARMA GROUP LTD
ACADEMY CONTINUOUS,Hormone replacements,20172,3673,ACTELION PHARMACEUTICALS LTD
DAUNOXOME,Mood stabilizers,20173,85306,DISTRIBUTION SIMARD INC
PHENYTOIN INFATABS,Hormone replacements,20174,90123,GLOPROFESSIONAL
METIPRANOLOL,Antimalarial,20175,77346,RAINBOW PHARMACEUTICALS INC
PAROXETINE MESYLATE,Antiseptics,20176,29753,SUNOVION PHARMACEUTICALS CANADA INC
ADHD CARE SYNERGY,Antibiotics,20177,80531,ACTAVIS GROUP PTC EHF
EQUALINE NASAL ALLERGY,Antimalarial,20178,2105,CANADIAN MEDICAL SUPPLY INC.
GALLPLEX,Tranquilizers,20179,55462,LUSTYS NATURAL PRODUCTS LTD.
MIRCERA,Tranquilizers,20180,52415,ROBELLA CANADA INC.
TC ENRICHEDLOTION,Antipyretics,20181,691,DONOVAN INDUSTRIES INC.
BUSINESS CLASS KIT,Analgesics,20182,54528,MEDIHERB INC.
GRANISETRON,Tranquilizers,20183,69915,MEYER LABORATORY INC
ENVIROCLENZ,Statins,20184,82587,AMSCO CANADA INC.
COMMON COLD,Hormone replacements,20185,349,FORMULEX CANADA INC.
LANOCREME HYDRATING,Mood stabilizers,20186,25252,NATURLAND LTD.
CISPLATIN,Mood stabilizers,20187,62414,BOVIPHARM INC.
ZANTAC 75,Hormone replacements,20188,27872,MAPLE PHARMACEUTICALS INCORPORATED
FIBERCON,Mood stabilizers,20189,67379,VORWERK & SOHN GMBH & CO. KG
WEATHER CHANGES,Hormone replacements,20190,67456,INNU-SCIENCE CANADA INC
EROS RELAX,Oral contraceptives,20191,63357,MILES LABS LTD.
LEXXEL,Analgesics,20192,72457,FYTORESEARCH INC.
G-CON-X,Tranquilizers,20193,2712,BONE HEALTH PHARMACEUTICAL INC.
SIMLIYA,Statins,20194,55329,NEOTERIC COSMETICS INC.
XPECTO,Mood stabilizers,20195,50078,LUITPOLD PHARMACEUTICALS INC
KALI SULPHURICUM,Analgesics,20196,7247,RMF PHARMA INC.
THUJA OCCIDENTALIS 6C,Antipyretics,20197,15227,MASSIMO GUARDUCCI SRL
QUEBRACHO,Stimulants,20198,87372,1560678 ONTARIO INC.
BELSOMRA,Statins,20199,57698,DONMAR HEALTH AND BEAUTY PRODUCTS
PREQUIMM,Antimalarial,20200,6099,4HEALTH INC.
COUMADIN,Statins,20201,49089,VALEO PHARMA INC
IODOFORMUM,Mood stabilizers,20202,39659,JULIUS SCHMID CANADA LTD.
POLARITY PLUS,Stimulants,20203,35123,VELTEK ASSOCIATES INC
REAL SQUEEZE ALOE VERA,Antiseptics,20204,90184,BIO-PHARM INC.
BEAN,Hormone replacements,20205,26610,NOPEN
ASPARTAME MSG DETOX,Oral contraceptives,20206,41181,DALIDAR PHARMA LTD
AURO EAR WAX REMOVER,Stimulants,20207,4496,HESS & CLARK
MUCINEX,Hormone replacements,20208,64755,ALZA PHARMS DIVISION OF ALZA CORP
CENESTIN,Analgesics,20209,81206,SMARTSHIELD SUNSCREENS
ECHINACEA PURPUREA,Tranquilizers,20210,41920,JA MANUFACTURING INC.
LARIN FE 1.5/30,Antimalarial,20211,68903,SIGNATURE PRODUCTS
ALGOMEND PAIN RELIEF,Mood stabilizers,20212,91499,SUNSTAR AMERICAS INC
PURALUBE,Antiseptics,20213,3928,RHEINGOLD FOOD INTERNATIONAL LTD.
NUTROPIN AQ,Oral contraceptives,20214,82359,SEPTODONT
TRICARE PRENATAL,Antipyretics,20215,78228,GENERATION PRODUCTS SDN BHD
SUPREME 1ST ESSENCE,Oral contraceptives,20216,51151,WESTERN DIALYSIS SUPPLIES LTD.
MALE ERECTILE ENHANCER,Statins,20217,31916,LES ENTREPRISES KAMERO INC
CAMPRAL,Stimulants,20218,30917,AUSTRALIAN GOLD INC.
CRINONE,Statins,20219,46221,MANDA PHARMA INC
LEUPROLIDE ACETATE,Hormone replacements,20220,13598,TOPWIN TRADING CO. LTD
QUEENS ROSE ELYSEE,Mood stabilizers,20221,34845,BOEHRINGER INGELHEIM (CANADA) LTD LTEE
DOXYCHEL HYCLATE,Stimulants,20222,50366,AMOL PHARMA GMBH
OXYGEN SIZE 400,Antibiotics,20223,86418,PURE LIFE INTERNATIONAL PRODS INC.
FLEXERIL,Antipyretics,20224,13787,EKR THERAPEUTICS INC
PENTAM 300,Antimalarial,20225,83333,VIBRANT LIFE
DERMACINRX CLORHEXACIN,Stimulants,20226,54796,TRADE TECHNOCRATS LTD.
HAND THERAPE SANITIZER,Analgesics,20227,26803,STERIPHARM INC.
ISA KNOX 365 SUN,Statins,20228,94785,SCHERING-PLOUGH (BRINNY) CO.
PNV-FIRST,Antimalarial,20229,64275,BRIOSCHI INC.
XRYLIX,Antimalarial,20230,92660,YORK CHEMICAL TECHNOLOGIES INC
PLETAL,Oral contraceptives,20231,59995,SWISS HERBAL REMEDIES LTD.
LUVOX CR,Tranquilizers,20232,43735,KAIZEN INC.
NHS INSOMNIA 2,Tranquilizers,20233,71401,ALKAPHARM
LEVONORGESTREL,Mood stabilizers,20234,26621,ANDRE PERREAULT
NAJA FORTE X,Mood stabilizers,20235,12209,NITMOI LABS INC
COBROXIN,Stimulants,20236,30106,MEDISCA PHARMACEUTIQUE INC
BIO ELM,Mood stabilizers,20237,41444,METABOLIC RESPONSE MODIFIERS
GLYCOPYRROLATE,Antiseptics,20238,2400,COURTIERS DE L'EST DSD INC.
WHITE KIDNEY BEANS,Analgesics,20239,96323,LAVORIS-DEP CORPORATION
FEM RESPONSE,Antiseptics,20240,97680,ACEPHARM LAB DIVISION OF SHIFA CARE INC.
ZALIEX ANTISEPTIC HAND,Antimalarial,20241,69258,BOEHRINGER INGELHEIM (CANADA) LTD LTEE
SENIORCLEAN BIO,Tranquilizers,20242,30866,APZ PHARMACEUTICAL CORPORATION
SAVANNAH,Oral contraceptives,20243,42717,CUSTOM LABORATORIES INC.
MIRACLE SOS BLACK,Statins,20244,39935,M-CHEM TECHNOLOGIES INC.
BLATTA AMERICANA,Antipyretics,20245,50185,ALBERTO-CULVER CANADA INC.
PHYTOLACCA KIT REFILL,Stimulants,20246,75564,GEORGE TAUB PRODUCTS & FUSION CO. INC.
CVS ACNE TREATMENT,Statins,20247,37409,FINISH LINE HORSE PRODUCTS INC.
FORTEO,Antiseptics,20248,72971,SHARK PRODUCTS INC.
SNORE CONTROL,Mood stabilizers,20249,39440,INNOVATECH INC
GOLDEN MEDICATED,Antibiotics,20250,83107,WELLA CANADA INC.
RHEUMATISM NAUSEA,Tranquilizers,20251,64534,MAMAN ET COMPAGNIE INC.
CLOZARIL,Stimulants,20252,21871,MEDEX INC.
TYLENOL,Analgesics,20253,97807,ALLERGAN PHARMA CO.
PAIN RELIEF HOT PATCH,Stimulants,20254,71446,NUTRIBUILD CORPORATION
LIBRAX,Statins,20255,18990,RIVIERA CONCEPTS INC.
AINNARA,Stimulants,20256,60898,RITCHIE-SMITH FEEDS INC.
DARZALEX,Antipyretics,20257,20124,WEST COAST PHARMS LTD.
DIAPER RASH,Mood stabilizers,20258,84973,COMPANY_NAME
SLUMBERPAX,Stimulants,20259,43894,LABORATOIRES DERMATOLOGIQUES AVÈNE
OXILAN-350,Analgesics,20260,8437,DENTSPLY INTERNATIONAL
AKLIEF,Antibiotics,20261,3969,GE HEALTHCARE CANADA INC
NOVARNICA,Mood stabilizers,20262,8012,TROPICANA CANADA
BUMEX,Tranquilizers,20263,35316,FRANK W HORNER INC.
PHOSPHORUS 30,Tranquilizers,20264,23239,PENTAPHARM LTD.
PREDNISONE INTENSOL,Mood stabilizers,20265,66296,UNIK LABORATORY
BODY WASH,Antibiotics,20266,85432,UNITED BAKERS CORP
ED A-HIST DM,Stimulants,20267,67667,TYLER HOLDINGS INC.
SORIATANE,Analgesics,20268,33415,STERLING MIDY
KETODAN,Oral contraceptives,20269,63868,ULTRABALANCE INC.
BLEPHAMIDE,Antiseptics,20270,32761,PRIME PHARMACEUTICAL CORPORATION
ALPHADINE SCRUB,Stimulants,20271,1763,TAD PHARMAZEUTISCHES WERK GMBH
LORIS BZK,Stimulants,20272,72619,DESERVING THYME INC.
TERRAMYCIN,Antimalarial,20273,57185,YVES ROCHER AMERIQUE DU NORD INC
PRIMAXIN,Antipyretics,20274,98748,ECO MED PHARMACEUTICALS
ZIRGAN,Antimalarial,20275,62330,DAYSTAR ENTERPRISES LTD.
E-COLI,Stimulants,20276,44266,OXLEE PHARMACEUTICALS INC
PROVENTIL,Statins,20277,12103,BLUE-ZONE TECHNOLOGIES LTD
CAFTAN,Mood stabilizers,20278,34984,SOBIO PHARMACEUTICAL CANADA INC.
BOTOX,Antimalarial,20279,21928,THERAPHARMA INC.
THYROSHIELD,Stimulants,20280,83001,INTERVET CANADA CORP
INTUNIV,Tranquilizers,20281,40694,A G KUNZLE KRAUTERPFARRER AG
TAZAROTENE,Oral contraceptives,20282,8364,MIDY-LAFARGE LABORATOIRES
CLARIFYING CLEANSER,Stimulants,20283,16808,AVANT-GARDE LES SUPPLÉMENTS
ALL DAY ALLERGY,Tranquilizers,20284,99535,CALVIN KLEIN COSMETICS COMPANY
YELLOW BIRCH,Antimalarial,20285,36415,BOOTS COMPANY PLC NOTTINGHAM ENGLAND
MAVIK,Antimalarial,20286,41369,MEGALAB INC.
AURORA BLUE MINT,Oral contraceptives,20287,11784,SAXON CHEMICALS LTD.
ZOMACTON,Analgesics,20288,89903,HAEMACURE CORPORATION
GUNA-IL 4,Oral contraceptives,20289,47446,HACCO INC.
CHYMEX,Stimulants,20290,17073,CONSOLIDATED BIOFUELS LTD.
BACTI-FOAM,Antimalarial,20291,46471,SPRAYWAY
COTELLIC,Stimulants,20292,98643,ORIENTAL TRADING CO. LTD.
ALCOHOL PAD,Antipyretics,20293,369,UNITED BAKERS CORP
DAYQUIL SEVERE,Statins,20294,13032,AMOL PHARMA GMBH
REVITOL,Antibiotics,20295,87963,HUMPHREY SANITATION SUPPLIES LTD.
ALCORTIN A,Tranquilizers,20296,53303,ALLERGY THERAPEUTICS (UK) LTD
CYCLOSERINE,Mood stabilizers,20297,12657,INTERVET CANADA CORP
MOBISYL,Hormone replacements,20298,85023,THE BUCKLEY'S COMPANY
NORDITROPIN,Hormone replacements,20299,1858,PEP PRODUCTS INC.
SEACRET,Analgesics,20300,55780,CURATEK PHARMACEUTICALS LTD. PARTNERSHIP
DECONEX,Antibiotics,20301,16937,SQUIRE LABS INC.
MONOPRIL-HCT,Stimulants,20302,71903,CORLISON PTE LTD
DIZZINESS - VERTIGO,Tranquilizers,20303,52335,AMERICAN HEALTH PRODUCTS CO INC.
PECTIN POPS,Analgesics,20304,64387,NANCI CORPORATION INTL.
PHOMA GLOMERATA,Antiseptics,20305,41085,MEDIC LABORATORY LTÉE
FOLLISTIM AQ,Antiseptics,20306,69903,NUTRIPUR INC.
ERYNGIUM AQUATICUM,Oral contraceptives,20307,32812,DONNA KARAN COSMETICS DIST.
ECOCARE 360,Antiseptics,20308,94252,MADHUR PHARMA & RESEARCH LABORATORIES
VISCUM ABIETIS 30MG,Statins,20309,79667,TAKEDA CANADA INC
CTX4 RINSE,Analgesics,20310,5973,NATIONAL CARE PRODUCTS LTD.
ZNSP REPAIR,Analgesics,20311,93511,PARKSIDE PROFESSIONAL PRODUCTS LTD
NAPROXEN CAPLETS,Antipyretics,20312,28132,AMWAY CORPORATION
MOISTURISING SUNSCREEN,Stimulants,20313,6878,WEIGHT LOSS CLINIC INC.
ANTIBAC FOAM WASH,Antimalarial,20314,88153,THE UPJOHN COMPANY OF CANADA
DEEP BISQUE ORIGINAL,Antimalarial,20315,44882,KC PHARMACEUTICALS INC
AILGENO,Hormone replacements,20316,95371,QUAD LABORATORIES INC.
FUL-GLO,Hormone replacements,20317,60322,HUONS MEDICARE CO LTD
DG HEALTH MUCUS ER,Antipyretics,20318,86981,VAGHEGGI S.P.A.
INSTANT COOL SKIN,Tranquilizers,20319,7255,VINCO INC.
XANAX,Antipyretics,20320,51195,PHYSICIANS FORMULA INC.
DR. THROWERS PBC NO. 1,Antibiotics,20321,64625,PERFORMANCE PLUS (INC.)
CHAVITA 2,Oral contraceptives,20322,36691,HEALTH 2000 INC.
PRIVIGEN,Mood stabilizers,20323,91528,DEL PHARMACEUTICALS INC.
DROSERA ROTUNDIFOLIA,Hormone replacements,20324,39875,HEALTH-WISE
MLK F3 KIT,Antiseptics,20325,24179,HOSPITAL SPECIALTY COMPANY
BALM STICK,Antiseptics,20326,48809,PITTSBURGH PLASTICS MANUFACTURING
NEXAVAR,Hormone replacements,20327,33058,VITAL HERBES INC.
DIVERCALM,Antipyretics,20328,29568,PROCTER & GAMBLE MANUFACTURING CO
EMFLAZA,Stimulants,20329,88438,HOBON/HVS LABS
PRECEDEX,Antiseptics,20330,54895,STERLING MIDY
JAFRA PRO,Antibiotics,20331,71757,BEARITT INC.
LOLLICAINE CHERRY,Analgesics,20332,77433,ARROW INTERNATIONAL INC.
VITAMIN E DAY,Antiseptics,20333,10002,NUTRIMMUNE TECHNOLOGIES INCORPORATED
IPRATROPIUM BROMIDE,Antiseptics,20334,78283,NEPHRON PHARMACEUTICALS CORPORATION
CAPZASIN QUICK RELIEF,Statins,20335,25114,AMWAY CORP.
BEDWETTING,Antibiotics,20336,44519,SPECIALTY ULTRAVISION INC.
SALLY HANSEN,Stimulants,20337,60341,LABS SEROLAM LABORATOIRE
HUMALOG,Stimulants,20338,32924,ABJ CUSTOM PACKAGING
