virusName           ,virusId             ,sources             ,dangerLevel         
SOYBEAN,80152,CHILE,81
MUSSAU,80153,TRISTAN DA CUNHA,41
PSYCHOPSIS,80154,MICRONESIA,52
AIR FORCE,80155,CHILE,55
HUERNIA,80156,NIGER,38
VIRFLOP,80157,ARMENIA,19
HAZELELL,80158,MEXICO,67
TORADALE,80159,URUGUAY,74
HOWAKIL,80160,SINGAPORE,8
BOUVARDIA,80161,BOSNIA AND HERZEGOVINA,37
MACROMONAS,80162,MYANMAR,39
CLIFF,80163,SAHRAWI ARAB,71
PLEASLEY,80164,GAMBIA,95
HESTIA,80165,SERBIA,34
SAFRA,80166,SOUTH AFRICA,66
GERM,80167,CHILE,96
VARICOCELE,80168,VATICAN CITY,36
ARGYLE,80169,SWAZILAND,45
CORNS,80170,YEMEN,13
LINGS,80171,FRENCH POLYNESIA,66
PADRE,80172,TONGA,14
YUSHANIA,80173,HOLLAND,53
ORIGINAL,80174,PALESTINE,17
RAGWORT,80175,OMAN,49
WAUN LEVEL,80176,SAMOA,90
AMBULANCE,80177,MAURITANIA,6
MATUA,80178,MONTENEGRO,55
DISPORUM,80179,ICELAND,14
HOG,80180,PHILIPPINES,37
HELNÆS,80181,SAHRAWI ARAB,49
CRAKE SCAR,80182,BANGLADESH,7
JUBAEA,80183,SINGAPORE,28
LEFKADA,80184,PANAMA,99
CAUTLEYA,80185,ROMANIA,1
GOSSA,80186,ABKHAZIA,58
MAYOTTE,80187,HERZEGOVINA,61
HERTZBERG,80188,CANADA,14
SPETSES,80189,BURKINA FASO,38
LILAC,80190,SWAZILAND,1
ACIDOSIS,80191,FAROE ISLANDS,5
ARUNDO,80192,FAROE ISLANDS,31
PERSIMMON,80193,GUAM,4
KOCH,80194,INDIA,24
WINGNUT,80195,TUNISIA,6
LESPEDEZA,80196,GUAM,83
BEACHES,80197,SERBIA,96
PENNYVENIE,80198,NORTHERN IRELAND,5
DONNINGTON,80199,TOGO,12
ZAKYNTHOS,80200,NEW CALEDONIA,86
HARTHILL,80201,ARMENIA,96
GAULTHERIA,80202,CAPE VERDE,8
ANTIGONON,80203,MICRONESIA,87
OPHIOPOGON,80204,POLAND,37
SHINGLES,80205,MONACO,31
SPATHODEA,80206,WALLIS AND FUTUNA WALLIS AND FUTUNA,96
ERYSIMUM,80207,BAHAMAS,58
LOWER HALL,80208,HUNGARY,34
SPYER,80209,CAMBODIA,85
LA GOMERA,80210,MICRONESIA,67
TAIWAN4,80211,BOSNIA,9
HOLLY,80212,JAMAICA,75
AMBAE,80213,SOUTHERN IRELAND,68
OLIVE,80214,MONACO,92
FRAJER,80215,ISRAEL,56
KUIU,80216,SOLOMON ISLANDS,72
HOWE,80217,MALI,57
CALCINOSIS,80218,MOZAMBIQUE,4
RUE,80219,MALTA,81
NEISSERIA,80220,GUATEMALA,59
MINDLESS,80221,HAITI,18
DICHROMASY,80222,SURINAME,96
T-SERIES,80223,CAMBODIA,94
ASCENSION,80224,SEYCHELLES,43
LORDOSIS,80225,MONACO,2
LILIUM,80226,NORTHERN IRELAND,57
LAURUS,80227,TANZANIA,74
WALDRIDGE,80228,BARBADOS,2
ARNLOSS,80229,GUINEA BISSAU,82
SKAT,80230,ANGUILLA,49
CORYPHA,80231,TOGO,90
WILSON,80232,TANZANIA,35
MARMARA,80233,PUERTO RICO,39
WYKE BANKS,80234,MALDIVE ISLANDS,45
DAVALLIA,80235,CUBA,50
HORSE BOOT,80236,BELGIUM,4
ÉMAO,80237,HAITI,85
ORONTIUM,80238,CAYMAN ISLANDS,50
WHIPWORM,80239,TRINIDAD AND TOBAGO,70
OLNEYA,80240,REPUBLIC OF IRELAND,66
CATTAIL,80241,KENYA,88
FIDRA,80242,NIGERIA,50
SALONINUS,80243,LIBYA,63
NARCISSUS,80244,DOMINICAN REPUBLIC,73
ASPERULA,80245,BULGARIA,27
LUING,80246,CYPRUS,69
KOZLODUY,80247,FAROE ISLANDS,51
AMSTERDAM,80248,RWANDA,18
ARTEMISIA,80249,SAINT VINCENT AND THE GRENADINES,20
DUMB CANE,80250,GHANA,1
ELSWICK,80251,PALESTINE,30
MAINLAND,80252,VIRGIN ISLANDS,85
ECHO,80253,ARUBA,59
NETHERWOOD,80254,CONGO,37
MULL,80255,COCOS,15
GEOBACTER,80256,SOLOMON ISLANDS,25
GOVERNOR,80257,LIBYA,20
MENKALINAN,80258,VIETNAM,55
SCURVY,80259,NETHERLANDS,17
WHITBURN,80260,SCOTLAND,43
MOWAT,80261,ECUADOR,22
REDWOOD,80262,EAST TIMOR,1
MARFAK,80263,TOKELAU,42
USSR 516,80264,LIECHTENSTEIN,12
BRYNDDOWY,80265,TUNISIA,24
HELIOPHILA,80266,NAURU,80
TAKEI,80267,NAURU,13
TURSDALE,80268,GIBRALTAR,66
MANIOC,80269,HOLLAND,42
DEARNLEY,80270,GUAM,89
RANGITATA,80271,DHEKELIA,65
PICO,80272,GUAM,12
ADAMS KEY,80273,KUWAIT,7
MCNEIL,80274,PERU,2
VENTURE,80275,NEW ZEALAND,100
MONOCANOCK,80276,HONG KONG,20
GREEN,80277,MEXICO,24
DEANS,80278,USA,38
ROSE HILL,80279,PORTUGAL,25
BEAUCHENE,80280,BRITISH VIRGIN ISLANDS,64
GLESPIN,80281,SVALBARD,95
BEESTON,80282,GUERNSEY,24
QUINCE,80283,BRUNEI,93
JUNIPER,80284,GUINEA-BISSAU,19
POLYGALA,80285,DJIBOUTI,25
CARMINES,80286,AMERICA,88
CABANAAS,80287,SURINAME,75
SPICE BUSH,80288,JORDAN,92
QUINTILLUS,80289,BOSNIA AND HERZEGOVINA,86
EPILEPSY,80290,BURMA,13
MANZANITA,80291,MAURITIUS,12
ROANOKE,80292,ECUADOR,24
HUAHINE,80293,SAMOA,99
BROKEN TOE,80294,SOMALIA,57
CISTUS,80295,ALBANIA,45
CHELAT,80296,JORDAN,55
EIGG,80297,PALAU,19
BARROTES,80298,JAPAN,97
MOSTYN,80299,ITALY,40
RODERICK,80300,EAST TIMOR,12
AETHIONEMA,80301,KUWAIT,93
MALUS,80302,GAMBIA,17
KOH RONG,80303,SOUTH KOREA,53
HORTENSIA,80304,ROMANIA,59
NONAMESSET,80305,ANTIGUA AND BARBUDA,57
VESTVAGØY,80306,PORTUGAL,66
BORDETELLA,80307,MADAGASCAR,48
HISPANIOLA,80308,NORFOLK ISLAND,71
PEARL,80309,PORTUGAL,7
TETANUS,80310,GREENLAND,65
ALKALOSIS,80311,BANGLADESH,93
TOPHILL,80312,JAPAN,9
OAK,80313,TRANSNISTRIA,58
TREE POPPY,80314,MARSHALL ISLANDS,60
CATALPA,80315,UK,78
MELBOURNE,80316,BRUNEI,2
ARIZONA,80317,CAMEROON,77
CRAZYI B,80318,BOLIVIA,19
KINGELLA,80319,CONGO,72
DODWORTH,80320,FRENCH POLYNESIA,53
VALENS,80321,BRITISH VIRGIN ISLANDS,59
UNSTONE,80322,MEXICO,33
PAPA,80323,ANGOLA,88
SCRIBBLE,80324,MOLDOVA,10
MONXLA-B,80325,GEORGIA,14
SYROS,80326,SOUTH KOREA,5
NESOI,80327,PALAU,92
NEWARTHILL,80328,GERMANY,78
RICE,80329,ABKHAZIA,98
RABIES,80330,LITHUANIA,71
CRULL'S,80331,TOGO,5
GRAPE,80332,GUYANA,44
PENWILLA,80333,ECUADOR,59
HIGH WOOD,80334,CONGO,24
BATHVILLE,80335,TOGO,59
KEA,80336,CAYMAN ISLANDS,45
TAKETOMI,80337,GRENADA,85
MANCOT,80338,KYRGYZSTAN,84
ARRABIDAEA,80339,LEBANON,75
PISTACIA,80340,GUERNSEY,75
NÆRØYA,80341,GUINEA BISSAU,19
ARUSIEK,80342,MARSHALL ISLANDS,8
RAWMARSH,80343,NAGORNO-KARABAKH,53
CAIRNHILL,80344,PALESTINIAN TERRITORIES,60
TECOMA,80345,NORFOLK ISLAND,18
BLOOD LILY,80346,RUSSIA,86
ARCV-N,80347,SVALBARD,32
CATAPLEXY,80348,BOSNIA AND HERZEGOVINA,62
INSOMNIA,80349,BURKINA FASO,74
BAMFURLONG,80350,PALESTINE,6
MALARIA,80351,BURUNDI,63
VIRUS-90,80352,UNITED ARAB EMIRATES,91
BLINDNESS,80353,MICRONESIA,59
PULAU TIGA,80354,WALLIS AND FUTUNA WALLIS AND FUTUNA,95
SPLIT,80355,ARMENIA,90
ASPERO,80356,PERU,83
CERBURUS,80357,PARAGUAY,60
CLYMNYL,80358,UNITED STATES VIRGIN ISLANDS,38
CHISWORTH,80359,USSR,35
MULE,80360,IVORY COAST,54
COCKEN,80361,PORTUGAL,96
YUMA,80362,NORTHERN IRELAND,46
ENCYCLIA,80363,CHILE,6
DISCHIDIA,80364,COSTA RICA,87
TAYLORS,80365,DOMINICAN REPUBLIC,65
MALVA,80366,SOMALILAND,34
ÉMAÉ,80367,NEPAL,97
BENT,80368,JORDAN,28
FLOWER,80369,UNITED STATES OF AMERICA,3
LARREA,80370,HONG KONG,24
LIMA BEAN,80371,ISRAEL,46
MOHÉLI,80372,SAINT MARTIN,55
PRICE,80373,SOUTHERN IRELAND,37
COVID-19,80374,CHINA,95
FERNHILL,80375,PHILIPPINES,97
NONOMURAEA,80376,LUXEMBOURG,85
IBICUY,80377,FIJI,83
CRUNINISH,80378,LUXEMBOURG,89
BABIANA,80379,URUGUAY,31
EBENEZER,80380,TRISTAN DA CUNHA,65
OWENS,80381,LIBYA,89
SMALL 146,80382,CONGO,24
ELK CLONER,80383,AMERICAN SAMOA,42
RHINOPHYMA,80384,BOTSWANA,13
ALYN BANK,80385,UGANDA,19
VCL,80386,GUATEMALA,66
CRESELLY,80387,LITHUANIA,90
EAST CAY,80388,MOZAMBIQUE,65
WHITEHAVEN,80389,FAROE ISLANDS,40
SHEEK'S,80390,BOSNIA HERZEGOVINA,85
LILY TURF,80391,NORTHERN MARIANA ISLANDS,22
BRANDY,80392,MALDIVE ISLANDS,31
CLARENCE,80393,MYANMAR,72
JUNE1530,80394,BRITISH VIRGIN ISLANDS,80
ANOMATHECA,80395,NIGER,88
TRICYRTIS,80396,ISRAEL,69
ROI-NAMUR,80397,CROATIA,94
JOHNSON,80398,NIGER,89
TYLDESLEY,80399,URUGUAY,2
MNEMOSYNE,80400,MADAGASCAR,11
VCOMM,80401,BURKINA FASO,55
BIRCH VALE,80402,SINGAPORE,33
CROSSIELLA,80403,SOUTH KOREA,75
ZAMAMIJIMA,80404,HERZEGOVINA,40
LES,80405,MAURITIUS,91
PUBERTY,80406,GABON,35
PARACOCCUS,80407,TURKMENISTAN,65
DELPH,80408,ASCENSION ISLAND,100
SANDBACH,80409,CHINA,46
BEECH,80410,OMAN,60
SAIR,80411,MALAYSIA,58
MONKEY,80412,GABON,34
MELOCACTUS,80413,RUSSIA,89
WELL CAY,80414,SAINT MARTIN,17
PECTINATUS,80415,FALKLAND ISLANDS,16
CLADANTHUS,80416,SRI LANKA,64
OXYDENDRUM,80417,INDIA,31
ERTVAGØY,80418,SAINT LUCIA,40
TRITELEIA,80419,SOUTHERN IRELAND,52
NANT,80420,EAST TIMOR,86
TREDEGAR,80421,SAHRAWI ARAB,100
PTILOTUS,80422,SAINT PIERRE AND MIQUELON,40
ABERGORKI,80423,NORTH KOREA,39
WILD PLUM,80424,KIRIBATI,25
SANTORINI,80425,BRITISH VIRGIN ISLANDS,32
GRESLEY,80426,NAMIBIA,92
SADDAM,80427,SEYCHELLES,15
LONG,80428,FRENCH POLYNESIA,65
QUILALUIA,80429,TAIWAN,63
FERGUSHILL,80430,UK,63
KOZAKIA,80431,GUATEMALA,70
GEVUINA,80432,BERMUDA,43
LANC,80433,NORWAY,53
VELLOZIA,80434,SAINT LUCIA,22
VEGA,80435,BAHAMAS,41
LAUGHERY,80436,JERSEY,94
POKER HILL,80437,ICELAND,35
LLANARCH,80438,PALESTINIAN TERRITORIES,16
HARD FERN,80439,MACAU,48
KING,80440,BOLIVIA,84
FIR,80441,HUNGARY,28
EPIPHYLLUM,80442,CROATIA,48
CI HAUL,80443,ISRAEL,73
CRAMBE,80444,GRENADA,81
V961,80445,COCOS,6
GISKE,80446,NAURU,95
PIT CLOSE,80447,CAPE VERDE,39
FULTON,80448,WALES,29
GLYNCORRWG,80449,SIERRA LEONE,87
ANEMIA,80450,GRENADA,28
ABRONIA,80451,KENYA,50
ODONTONIA,80452,FRANCE,77
NUSAKAN,80453,COOK ISLANDS,73
EASTWOOD,80454,MOLDOVA,54
HORSE,80455,TRISTAN DA CUNHA,5
SABA,80456,ECUADOR,29
TYNING,80457,WALES,12
WET CAY,80458,DHEKELIA,42
LEROS,80459,GAMBIA,21
AMICIA,80460,ZIMBABWE,9
COMO,80461,CONGO,5
MOTURUA,80462,SEYCHELLES,40
BOGORIELLA,80463,BENIN,93
EGHOLM,80464,SCOTLAND,15
PEKING,80465,NETHERLANDS ANTILLES,94
RUBELLA,80466,BENIN,17
PENIS SIZE,80467,CROATIA,44
BOOK,80468,KUWAIT,88
OPHRYS,80469,THAILAND,42
DONLEY,80470,TANZANIA,94
PRIMROSE,80471,LATVIA,34
PHIMOSIS,80472,LAOS,81
GEORGETOWN,80473,ANGUILLA,7
LOYALTY,80474,TOKELAU,44
FULLSWOOD,80475,INDONESIA,81
YUCA,80476,MONTSERRAT,46
NUKUFAIAU,80477,NEW ZEALAND,57
OMOLKARM,80478,FRENCH POLYNESIA,14
BARBERRY,80479,BOLIVIA,86
ARUM,80480,JAPAN,46
SPEEDWELL,80481,SCOTLAND,32
FFORCHMOEL,80482,IRAN,48
MARTHOLME,80483,PALESTINIAN TERRITORIES,96
TELOPEA,80484,GEORGIA,2
BRADLEY,80485,CUBA,100
HARTINGTON,80486,PORTUGAL,61
SIKAIANA,80487,CYPRUS,53
REKLAMA,80488,MALAWI,71
TILERIES,80489,NORTHERN MARIANA ISLANDS,51
SOMERSET,80490,USA,43
COTTAM NEW,80491,DHEKELIA,24
GENOVESA,80492,NORFOLK ISLAND,65
BU TAMMUR,80493,SAINT VINCENT AND THE GRENADINES,42
HYPHEMA,80494,SWITZERLAND,4
MIDDLE PIT,80495,SAN MARINO,2
DEMOLITION,80496,AMERICA,80
MELLS,80497,FIJI,45
PERUQUE,80498,UGANDA,10
MULTI-11,80499,PAKISTAN,78
WASTE BANK,80500,AUSTRIA,35
OLIGELLA,80501,DENMARK,34
HOMERIA,80502,SUDAN,8
MYRSINE,80503,AUSTRALIA,42
KNOWTON,80504,AFGHANISTAN,94
ASTHMA,80505,LAOS,30
MEDICAGO,80506,ALGERIA,12
POLYANGIUM,80507,UKRAINE,6
GOOSEBERRY,80508,CEYLON,87
SHEROSE,80509,DHEKELIA,36
OVER4032,80510,KIRIBATI,40
GIGHA,80511,TRINIDAD AND TOBAGO,23
RONDEAU,80512,ENGLAND,27
SNAPE HILL,80513,GERMANY,28
GAIRSAY,80514,MOLDOVA,2
AZHA,80515,CYPRUS,89
HOEDUS II,80516,BANGLADESH,83
VALLOTA,80517,COSTA RICA,26
TREASURE,80518,KAZAKHSTAN,81
HEZE,80519,BAHAMAS,97
SERENA,80520,ARUBA,20
CHINQUAPIN,80521,IRAN,87
TEMATANGI,80522,TONGA,15
BRIDGE INN,80523,MONGOLIA,16
DECUMARIA,80524,ANDORRA,7
SOEHNGENIA,80525,SYRIA,86
MARDY,80526,BELIZE,27
SCLERITIS,80527,LEBANON,56
LINUM,80528,CENTRAL AFRICAN REPUBLIC,84
TAIRAJIMA,80529,SAINT MARTIN,44
CHERIMOYA,80530,TONGA,91
RIPAPA,80531,ASCENSION ISLAND,12
TINI HEKE,80532,DOMINICAN REPUBLIC,84
MAPPERLEY,80533,UNITED STATES,70
TIGER BARB,80534,SOMALIA,37
TYLORS,80535,SURINAME,32
CALAMINT,80536,NEW CALEDONIA,60
MINI-207,80537,SWITZERLAND,18
SMALL 132B,80538,NETHERLANDS,28
TEA,80539,OMAN,23
BOTANY BAY,80540,NIGER,90
INIT 9403,80541,UNITED KINGDOM,14
ALONISSOS,80542,CROATIA,79
BOXWOOD,80543,SRI LANKA,1
WATFORD,80544,AKROTIRI,23
NA MOKULUA,80545,TRINIDAD,7
CYMBALARIA,80546,CAPE VERDE,83
PETASITES,80547,LEBANON,6
BORDEN,80548,ANTIGUA AND BARBUDA,78
INGHAM,80549,ROMANIA,70
YORKSHIRE,80550,EGYPT,7
DUGI OTOK,80551,VIETNAM,32
POÇO,80552,DJIBOUTI,9
SWAINS,80553,ZAMBIA,96
HEATHER,80554,KOSOVO,41
YAUTIA,80555,THAILAND,65
SPRIANTHES,80556,BELARUS,37
COPYR-UG,80557,GAMBIA,10
SOLLYA,80558,THAILAND,60
PEACH,80559,ZAMBIA,46
PUKA-PUKA,80560,AZERBAIJAN,68
CHAPEL,80561,COLOMBIA,25
BEAST,80562,ECUADOR,61
HALOCELLA,80563,USA,70
PSORIASIS,80564,MYANMAR,24
GYALI,80565,REPUBLIC OF IRELAND,60
DISTYLIUM,80566,UNITED STATES VIRGIN ISLANDS,83
CEANOTHUS,80567,SWAZILAND,10
MUGSHOT,80568,BELGIUM,94
AUBERGINE,80569,CZECH REPUBLIC,7
HATERUMA,80570,BAHRAIN,97
LATHRAEA,80571,SEYCHELLES,31
BRO_ACT,80572,AUSTRIA,12
PAGE B,80573,BULGARIA,31
GLADDOW,80574,SAINT VINCENT AND THE GRENADINES,37
CALLA LILY,80575,GABON,93
PASTURE,80576,SRI LANKA,4
MARIJUANA,80577,MONTSERRAT,57
TINDALLIA,80578,SLOVAKIA,71
BOWEN,80579,CUBA,63
GERANIUM,80580,BHUTAN,45
PRESCOT,80581,SWITZERLAND,88
DIPHDA,80582,TAIWAN,12
PIN OAK,80583,IRAN,21
LOWER MOOR,80584,DJIBOUTI,19
NAVELWORT,80585,ERITREA,84
LAURIE,80586,CAPE VERDE,51
WHATELEY,80587,CHINA,42
TOR CEFN,80588,COLOMBIA,94
BERGMANN,80589,CZECH REPUBLIC,17
FRIZINGTON,80590,COSTA RICA,85
LICKFLN,80591,SOUTHERN IRELAND,34
BLOXWICH,80592,SENEGAL,30
MOIRA,80593,SRI LANKA,61
ERRAID,80594,WALES,10
FOLEY,80595,NORFOLK ISLAND,4
ADMIRALTY,80596,LITHUANIA,76
TEASEL,80597,BANGLADESH,3
PROCTALGIA,80598,DOMINICAN REPUBLIC,3
KOLYUCHIN,80599,MEXICO,88
GAINMORE,80600,TRINIDAD,50
FAMILY Q,80601,ENGLAND,49
HAKEA,80602,SCOTLAND,73
FERRY HILL,80603,GUYANA,82
GRAYFIELD,80604,GHANA,21
MARECHAL,80605,SLOVAKIA,100
ANDROMEDA,80606,PAKISTAN,63
SUSAN,80607,NAURU,5
LAGUNARIA,80608,LESOTHO,24
LIBERTY,80609,LESOTHO,98
ELBOW CAY,80610,VIETNAM,36
ERBS PALSY,80611,BOTSWANA,76
LYONIA,80612,ICELAND,56
TURNHURST,80613,NORFOLK ISLAND,30
RAT,80614,GUYANA,18
ALZIRR,80615,UNITED STATES,99
JOES,80616,USSR,65
NYMPHAEA,80617,NORTH KOREA,5
SHIKOKU,80618,NORTHERN MARIANA ISLANDS,37
PLANETREE,80619,ANGOLA,45
GIBBAEUM,80620,BULGARIA,63
TWIN-351,80621,SRI LANKA,33
SIBIRAEA,80622,MICRONESIA,11
NEAL,80623,MOZAMBIQUE,6
PRINCE,80624,BANGLADESH,16
SALIPIGER,80625,CAMBODIA,69
WADMALAW,80626,ECUADOR,45
MINT,80627,KENYA,20
HAWKESBURY,80628,CENTRAL AFRICAN REPUBLIC,51
HOLME,80629,SYRIA,82
TETIAROA,80630,CEYLON,63
WALNUT,80631,CAMEROON,94
SMALLPOX,80632,ANGOLA,33
EUSTATIA,80633,MOZAMBIQUE,62
DECAISNEA,80634,BENIN,11
BAK,80635,SIERRA LEONE,19
WHITE OAK,80636,NAGORNO-KARABAKH,21
LIVINGSTON,80637,TANZANIA,18
NISSYROS,80638,ESTONIA,25
PANSY,80639,SAINT PIERRE AND MIQUELON,21
MASNEDØ,80640,PARAGUAY,20
BALLY,80641,KAZAKHSTAN,4
SAMSØ,80642,AMERICAN SAMOA,48
DALMA,80643,LITHUANIA,5
JOSHUA,80644,BELIZE,86
CHRISTIAN,80645,VIETNAM,84
PENRHIEW,80646,MALDIVE ISLANDS,10
CHINABERRY,80647,BOSNIA AND HERZEGOVINA,33
AVSA,80648,SEYCHELLES,26
SHADY,80649,ESTONIA,2
C-A-D,80650,VANUATU,43
TREFONEN,80651,MONGOLIA,2
BROADSTONE,80652,ANGUILLA,29
FORM,80653,NEW CALEDONIA,77
DUTCH TINY,80654,WALLIS AND FUTUNA WALLIS AND FUTUNA,27
RIKENELLA,80655,QATAR,98
SKANTZOURA,80656,LAOS,44
SANDWORT,80657,MALDIVES,64
B3,80658,AKROTIRI,84
RIGIDELLA,80659,CHINA,60
YOUNG CAY,80660,PITCAIRN ISLANDS,6
EMMIE,80661,DOMINICAN REPUBLIC,34
STYRAX,80662,VATICAN CITY,33
MARTIN,80663,SAMOA,59
SELAON,80664,SRI LANKA,91
HAZEL,80665,TONGA,61
ITEA,80666,SCOTLAND,94
PASQUE,80667,IVORY COAST,4
USSR 707,80668,CHRISTMAS ISLAND,67
NEWCOM,80669,EGYPT,72
GILLENIA,80670,MAURITIUS,74
PISONIA,80671,TAIWAN,94
EUCHARIS,80672,FIJI,33
SHAKERLEY,80673,NIUE,32
INGRAM,80674,TURKEY,55
THEMIS,80675,NEPAL,76
INVOL,80676,CAMEROON,92
JOHN,80677,CAMBODIA,73
