Name_Of_Product            ,Product_ID               ,Inventory            ,Importer         
ZIDOVUDINE,20120,15718,ARVIDIS INC.
DAY NIGHT COLD AND FLU,20121,26939,FASHION FAIR LLC
FERRUM SIDEREUM SULFUR,20122,19717,BIOCRYST PHARMACEUTICALS INC
EMCYT,20123,88329,MID-CONTINENT AGRIMARKETING INC.
BIOVITA,20124,46291,MALABAR FORMULAS
SAFETY COATED ASPIRIN,20125,59074,BAXTER CORPORATION
WHP BE GONE HAY FEVER,20126,49536,DREW MARINE
KLOR-CON SPRINKLE,20127,50499,PIRAMAL CRITICAL CARE INC
LINCOMYCIN,20128,75169,HELENA RUBINSTEIN CANADA
INDAPAMIDE,20129,67885,AMANO PIONEER ECLIPSE CORPORATION
CAFE MOCHA,20130,69776,MID-CONTINENT AGRIMARKETING INC.
LENS CLEANER,20131,62257,CORPACK CANADA
OSMIUM METALLICUM,20132,14044,LABITALY PHARMACEUTICALS INC
CAMILA,20133,28210,XAN CORP.
BETA 1 KIT,20134,97600,ENTERPRISE PAPER CO. LTD
SCAL TONIC SHAMPOO,20135,68757,COOK IMAGING CORPORATION
PETROLEUM 200C,20136,76649,ETHYPHARM INC
TORONOVA II SUIK,20137,15298,SAGE PRODUCTS LLC
ALOE SUN ESSENCE,20138,58305,PFIZER CANADA INC ANIMAL HEALTH GROUP
G-SUPRESS DX,20139,3476,AKUNA HEALTH PRODUCTS INC.
VERATRUM CHAMOMILLA,20140,73674,INNOVUS PHARMACEUTICALS INC
SUN DEFENSE SPF 15,20141,77033,ULTRAVENA INDUSTRIES LIMITED
TROPHAMINE,20142,80353,INTELLIPHARMACEUTICS CORP
BONTU 40 (NUMBER 537),20143,45366,WAKUNAGA PHARMACEUTICAL CO LTD.
SHOPRITE ACETAMINOPHEN,20144,28368,LAB DIO-PRIS INC.
THERA DERM ROLL ON,20145,38825,LACTAID INC.
BECCA,20146,56704,CROWN CHEMICAL PRODUCTS INC.
VITAMIN A,20147,40024,BLACKHAWK INDIAN REMEDY CO
BB FAIR,20148,97270,SO-LEI PRODUCTS LTD.
FULVICIN P/G,20149,3695,GREITER AG
QUETIAPINE FUMARATE,20150,26110,SHISEIDO AMERICA INC
ISENTRESS HD,20151,39988,ADVANCED RESEARCH LABORATORIES
MIFEPREX,20152,40077,LEGACY MANUFACTURING INC.
NEUTRA MAXX 5000,20153,98763,CANADIAN MILL SUPPLY CO LTD.
EVERGREEN SNOWMAN,20154,79153,HERSHEY CANADA INC.
PARATHYROID,20155,55718,NATURAL HEALTH PRODUCTS
TRI-LINYAH,20156,41553,PHARMACOSMOS A/S
RED OAK,20157,45708,HUVEPHARMA EOOD
LEVOCARNITINE,20158,62264,DRM INC. LES ENTREPRISES
GERM SAFE,20159,99144,FRANCES DENNEY INC.
TORULA CEREVISIAE,20160,28202,HERBION CANADA
FASPRIN,20161,63551,MACO PHARMA
REPARA,20162,25241,CUBIST PHARMACEUTICALS LLC
DUONEB,20163,85198,LAROSH DERMOCOSMETIC LABORATORIES INC.
BYVALSON,20164,79566,FRESENIUS MEDICAL CARE DEUTCHLAND GMBH
CANADIAN BLUEGRASS,20165,45248,DEPRENYL RESEARCH LTD.
BODY FADE CREME,20166,85933,DEMONTIS INC. PRODUITS SANITAIRES
WEIGHT GLOSS,20167,84512,GROUPE MARCELLE INC
DG HEALTH MUCUS RELIEF,20168,73263,ROSS CHEMPHARMA INC.
ZOOM WIPES,20169,21914,COLOPLAST CORP.
ALPHALIN,20170,16489,3M CANADA COMPANY
LYMESODE,20171,44766,ECL PHARMA GROUP LTD
ACADEMY CONTINUOUS,20172,3673,ACTELION PHARMACEUTICALS LTD
DAUNOXOME,20173,85306,DISTRIBUTION SIMARD INC
PHENYTOIN INFATABS,20174,90123,GLOPROFESSIONAL
METIPRANOLOL,20175,77346,RAINBOW PHARMACEUTICALS INC
PAROXETINE MESYLATE,20176,29753,SUNOVION PHARMACEUTICALS CANADA INC
ADHD CARE SYNERGY,20177,80531,ACTAVIS GROUP PTC EHF
EQUALINE NASAL ALLERGY,20178,2105,CANADIAN MEDICAL SUPPLY INC.
GALLPLEX,20179,55462,LUSTYS NATURAL PRODUCTS LTD.
MIRCERA,20180,52415,ROBELLA CANADA INC.
TC ENRICHEDLOTION,20181,691,DONOVAN INDUSTRIES INC.
BUSINESS CLASS KIT,20182,54528,MEDIHERB INC.
GRANISETRON,20183,69915,MEYER LABORATORY INC
ENVIROCLENZ,20184,82587,AMSCO CANADA INC.
COMMON COLD,20185,349,FORMULEX CANADA INC.
LANOCREME HYDRATING,20186,25252,NATURLAND LTD.
CISPLATIN,20187,62414,BOVIPHARM INC.
ZANTAC 75,20188,27872,MAPLE PHARMACEUTICALS INCORPORATED
FIBERCON,20189,67379,VORWERK & SOHN GMBH & CO. KG
WEATHER CHANGES,20190,67456,INNU-SCIENCE CANADA INC
EROS RELAX,20191,63357,MILES LABS LTD.
LEXXEL,20192,72457,FYTORESEARCH INC.
G-CON-X,20193,2712,BONE HEALTH PHARMACEUTICAL INC.
SIMLIYA,20194,55329,NEOTERIC COSMETICS INC.
XPECTO,20195,50078,LUITPOLD PHARMACEUTICALS INC
KALI SULPHURICUM,20196,7247,RMF PHARMA INC.
THUJA OCCIDENTALIS 6C,20197,15227,MASSIMO GUARDUCCI SRL
QUEBRACHO,20198,87372,1560678 ONTARIO INC.
BELSOMRA,20199,57698,DONMAR HEALTH AND BEAUTY PRODUCTS
PREQUIMM,20200,6099,4HEALTH INC.
COUMADIN,20201,49089,VALEO PHARMA INC
IODOFORMUM,20202,39659,JULIUS SCHMID CANADA LTD.
POLARITY PLUS,20203,35123,VELTEK ASSOCIATES INC
REAL SQUEEZE ALOE VERA,20204,90184,BIO-PHARM INC.
BEAN,20205,26610,NOPEN
ASPARTAME MSG DETOX,20206,41181,DALIDAR PHARMA LTD
AURO EAR WAX REMOVER,20207,4496,HESS & CLARK
MUCINEX,20208,64755,ALZA PHARMS DIVISION OF ALZA CORP
CENESTIN,20209,81206,SMARTSHIELD SUNSCREENS
ECHINACEA PURPUREA,20210,41920,JA MANUFACTURING INC.
LARIN FE 1.5/30,20211,68903,SIGNATURE PRODUCTS
ALGOMEND PAIN RELIEF,20212,91499,SUNSTAR AMERICAS INC
PURALUBE,20213,3928,RHEINGOLD FOOD INTERNATIONAL LTD.
NUTROPIN AQ,20214,82359,SEPTODONT
TRICARE PRENATAL,20215,78228,GENERATION PRODUCTS SDN BHD
SUPREME 1ST ESSENCE,20216,51151,WESTERN DIALYSIS SUPPLIES LTD.
MALE ERECTILE ENHANCER,20217,31916,LES ENTREPRISES KAMERO INC
CAMPRAL,20218,30917,AUSTRALIAN GOLD INC.
CRINONE,20219,46221,MANDA PHARMA INC
LEUPROLIDE ACETATE,20220,13598,TOPWIN TRADING CO. LTD
QUEENS ROSE ELYSEE,20221,34845,BOEHRINGER INGELHEIM (CANADA) LTD LTEE
DOXYCHEL HYCLATE,20222,50366,AMOL PHARMA GMBH
OXYGEN SIZE 400,20223,86418,PURE LIFE INTERNATIONAL PRODS INC.
FLEXERIL,20224,13787,EKR THERAPEUTICS INC
PENTAM 300,20225,83333,VIBRANT LIFE
DERMACINRX CLORHEXACIN,20226,54796,TRADE TECHNOCRATS LTD.
HAND THERAPE SANITIZER,20227,26803,STERIPHARM INC.
ISA KNOX 365 SUN,20228,94785,SCHERING-PLOUGH (BRINNY) CO.
PNV-FIRST,20229,64275,BRIOSCHI INC.
XRYLIX,20230,92660,YORK CHEMICAL TECHNOLOGIES INC
PLETAL,20231,59995,SWISS HERBAL REMEDIES LTD.
LUVOX CR,20232,43735,KAIZEN INC.
NHS INSOMNIA 2,20233,71401,ALKAPHARM
LEVONORGESTREL,20234,26621,ANDRE PERREAULT
NAJA FORTE X,20235,12209,NITMOI LABS INC
COBROXIN,20236,30106,MEDISCA PHARMACEUTIQUE INC
BIO ELM,20237,41444,METABOLIC RESPONSE MODIFIERS
GLYCOPYRROLATE,20238,2400,COURTIERS DE L'EST DSD INC.
WHITE KIDNEY BEANS,20239,96323,LAVORIS-DEP CORPORATION
FEM RESPONSE,20240,97680,ACEPHARM LAB DIVISION OF SHIFA CARE INC.
ZALIEX ANTISEPTIC HAND,20241,69258,BOEHRINGER INGELHEIM (CANADA) LTD LTEE
SENIORCLEAN BIO,20242,30866,APZ PHARMACEUTICAL CORPORATION
SAVANNAH,20243,42717,CUSTOM LABORATORIES INC.
MIRACLE SOS BLACK,20244,39935,M-CHEM TECHNOLOGIES INC.
BLATTA AMERICANA,20245,50185,ALBERTO-CULVER CANADA INC.
PHYTOLACCA KIT REFILL,20246,75564,GEORGE TAUB PRODUCTS & FUSION CO. INC.
CVS ACNE TREATMENT,20247,37409,FINISH LINE HORSE PRODUCTS INC.
FORTEO,20248,72971,SHARK PRODUCTS INC.
SNORE CONTROL,20249,39440,INNOVATECH INC
GOLDEN MEDICATED,20250,83107,WELLA CANADA INC.
RHEUMATISM NAUSEA,20251,64534,MAMAN ET COMPAGNIE INC.
CLOZARIL,20252,21871,MEDEX INC.
TYLENOL,20253,97807,ALLERGAN PHARMA CO.
PAIN RELIEF HOT PATCH,20254,71446,NUTRIBUILD CORPORATION
LIBRAX,20255,18990,RIVIERA CONCEPTS INC.
AINNARA,20256,60898,RITCHIE-SMITH FEEDS INC.
DARZALEX,20257,20124,WEST COAST PHARMS LTD.
DIAPER RASH,20258,84973,COMPANY_NAME
SLUMBERPAX,20259,43894,LABORATOIRES DERMATOLOGIQUES AVÈNE
OXILAN-350,20260,8437,DENTSPLY INTERNATIONAL
AKLIEF,20261,3969,GE HEALTHCARE CANADA INC
NOVARNICA,20262,8012,TROPICANA CANADA
BUMEX,20263,35316,FRANK W HORNER INC.
PHOSPHORUS 30,20264,23239,PENTAPHARM LTD.
PREDNISONE INTENSOL,20265,66296,UNIK LABORATORY
BODY WASH,20266,85432,UNITED BAKERS CORP
ED A-HIST DM,20267,67667,TYLER HOLDINGS INC.
SORIATANE,20268,33415,STERLING MIDY
KETODAN,20269,63868,ULTRABALANCE INC.
BLEPHAMIDE,20270,32761,PRIME PHARMACEUTICAL CORPORATION
ALPHADINE SCRUB,20271,1763,TAD PHARMAZEUTISCHES WERK GMBH
LORIS BZK,20272,72619,DESERVING THYME INC.
TERRAMYCIN,20273,57185,YVES ROCHER AMERIQUE DU NORD INC
PRIMAXIN,20274,98748,ECO MED PHARMACEUTICALS
ZIRGAN,20275,62330,DAYSTAR ENTERPRISES LTD.
E-COLI,20276,44266,OXLEE PHARMACEUTICALS INC
PROVENTIL,20277,12103,BLUE-ZONE TECHNOLOGIES LTD
CAFTAN,20278,34984,SOBIO PHARMACEUTICAL CANADA INC.
BOTOX,20279,21928,THERAPHARMA INC.
THYROSHIELD,20280,83001,INTERVET CANADA CORP
INTUNIV,20281,40694,A G KUNZLE KRAUTERPFARRER AG
TAZAROTENE,20282,8364,MIDY-LAFARGE LABORATOIRES
CLARIFYING CLEANSER,20283,16808,AVANT-GARDE LES SUPPLÉMENTS
ALL DAY ALLERGY,20284,99535,CALVIN KLEIN COSMETICS COMPANY
YELLOW BIRCH,20285,36415,BOOTS COMPANY PLC NOTTINGHAM ENGLAND
MAVIK,20286,41369,MEGALAB INC.
AURORA BLUE MINT,20287,11784,SAXON CHEMICALS LTD.
ZOMACTON,20288,89903,HAEMACURE CORPORATION
GUNA-IL 4,20289,47446,HACCO INC.
CHYMEX,20290,17073,CONSOLIDATED BIOFUELS LTD.
BACTI-FOAM,20291,46471,SPRAYWAY
COTELLIC,20292,98643,ORIENTAL TRADING CO. LTD.
ALCOHOL PAD,20293,369,UNITED BAKERS CORP
DAYQUIL SEVERE,20294,13032,AMOL PHARMA GMBH
REVITOL,20295,87963,HUMPHREY SANITATION SUPPLIES LTD.
ALCORTIN A,20296,53303,ALLERGY THERAPEUTICS (UK) LTD
CYCLOSERINE,20297,12657,INTERVET CANADA CORP
MOBISYL,20298,85023,THE BUCKLEY'S COMPANY
NORDITROPIN,20299,1858,PEP PRODUCTS INC.
SEACRET,20300,55780,CURATEK PHARMACEUTICALS LTD. PARTNERSHIP
DECONEX,20301,16937,SQUIRE LABS INC.
MONOPRIL-HCT,20302,71903,CORLISON PTE LTD
DIZZINESS - VERTIGO,20303,52335,AMERICAN HEALTH PRODUCTS CO INC.
PECTIN POPS,20304,64387,NANCI CORPORATION INTL.
PHOMA GLOMERATA,20305,41085,MEDIC LABORATORY LTÉE
FOLLISTIM AQ,20306,69903,NUTRIPUR INC.
ERYNGIUM AQUATICUM,20307,32812,DONNA KARAN COSMETICS DIST.
ECOCARE 360,20308,94252,MADHUR PHARMA & RESEARCH LABORATORIES
VISCUM ABIETIS 30MG,20309,79667,TAKEDA CANADA INC
CTX4 RINSE,20310,5973,NATIONAL CARE PRODUCTS LTD.
ZNSP REPAIR,20311,93511,PARKSIDE PROFESSIONAL PRODUCTS LTD
NAPROXEN CAPLETS,20312,28132,AMWAY CORPORATION
MOISTURISING SUNSCREEN,20313,6878,WEIGHT LOSS CLINIC INC.
ANTIBAC FOAM WASH,20314,88153,THE UPJOHN COMPANY OF CANADA
DEEP BISQUE ORIGINAL,20315,44882,KC PHARMACEUTICALS INC
AILGENO,20316,95371,QUAD LABORATORIES INC.
FUL-GLO,20317,60322,HUONS MEDICARE CO LTD
DG HEALTH MUCUS ER,20318,86981,VAGHEGGI S.P.A.
INSTANT COOL SKIN,20319,7255,VINCO INC.
XANAX,20320,51195,PHYSICIANS FORMULA INC.
DR. THROWERS PBC NO. 1,20321,64625,PERFORMANCE PLUS (INC.)
CHAVITA 2,20322,36691,HEALTH 2000 INC.
PRIVIGEN,20323,91528,DEL PHARMACEUTICALS INC.
DROSERA ROTUNDIFOLIA,20324,39875,HEALTH-WISE
MLK F3 KIT,20325,24179,HOSPITAL SPECIALTY COMPANY
BALM STICK,20326,48809,PITTSBURGH PLASTICS MANUFACTURING
NEXAVAR,20327,33058,VITAL HERBES INC.
DIVERCALM,20328,29568,PROCTER & GAMBLE MANUFACTURING CO
EMFLAZA,20329,88438,HOBON/HVS LABS
PRECEDEX,20330,54895,STERLING MIDY
JAFRA PRO,20331,71757,BEARITT INC.
LOLLICAINE CHERRY,20332,77433,ARROW INTERNATIONAL INC.
VITAMIN E DAY,20333,10002,NUTRIMMUNE TECHNOLOGIES INCORPORATED
IPRATROPIUM BROMIDE,20334,78283,NEPHRON PHARMACEUTICALS CORPORATION
CAPZASIN QUICK RELIEF,20335,25114,AMWAY CORP.
BEDWETTING,20336,44519,SPECIALTY ULTRAVISION INC.
SALLY HANSEN,20337,60341,LABS SEROLAM LABORATOIRE
HUMALOG,20338,32924,ABJ CUSTOM PACKAGING
VANILLA,20339,86260,THE TRIVITA WAY INTERNATIONAL INC.
METAMUCIL,20340,81124,DISCUS DENTAL LLC
ZIPAN-25,20341,29212,LISA & GERRY FREUNDL
CERVIDIL,20342,26396,ACTIVATED ENVIRONMENTAL SOLUTIONS INC
PRENATAL PLUS,20343,61055,GLAXO CANADA INC
BEAUTY FOX ATOCLINIC,20344,33151,NUTRAMEDICS HEALTH CORPORATION
EVISTA,20345,20575,HYGIPRO INC.
ETHMOZINE,20346,54147,LE GROUPE PRODEAL LTEE
TRIMEPRAZINE TARTRATE,20347,69906,KENDALL MCGAW LABORATORIES INC.
LOTREL,20348,12308,ORIMED PHARMA INC
SORE NIPPLES,20349,75944,CONFORTMEDIC TECHNOLOGIES INC
WILDE ORCHID,20350,60393,SHEPHERD PHARMACEUTICALS INC.
UTAH JUNIPER POLLEN,20351,62792,ALOETTE COSMETICS OF/DU CANADA INC.
G-BRONCO-D,20352,10730,CHEMPEX INDUSTRIES LTD.
CARVEDILOL PHOSPHATE,20353,82656,SEPTODONT INC
PHENYTEK,20354,77947,IVOCLAR VIVADENT AG
LACHESIS BELLADONNA,20355,14908,SERGEANTS OF CANADA
MIRVASO,20356,37917,MEDPRODEX INC.
ALLER-CHORD F,20357,74867,BOLTON DENTAL MANUFACTURING INC.
ANTACID RELIEF,20358,43886,M.D. LABS
COLIC COMPLEX,20359,99109,FRANK T ROSS & SONS LTD.
DERMACINRX FOLIPLUS D,20360,73136,POTTER & CLARKE C/O BOOKER HEALTH FOODS
HAND WIPES,20361,83086,HANSOL INDUSTRIES INC.
MALT,20362,94073,ORALABS INC
CINERARIA MARITIMA,20363,5112,LES INSTRUMENTS MEDICAUX A.B.C. INC.
FLU KIDS RELIEF,20364,85678,SANOFI-SYNTHELABO CANADA INC
PAIN RELIEF 8 HR,20365,6646,NORTHLAND HEALTH CARE PRODUCTS LTD.
GREENTINOL ESSENCE,20366,76857,UNITED LABORATORIES INC.
SYNERGY BOOSTER,20367,44738,SAANICH PHARMACY
POST TREATMENT BALM,20368,79805,TRADE TECHNOCRATS LTD.
FLUVASTATIN SODIUM,20369,49540,TRUE NORTH NUTRITION INC.
NICOLAR,20370,78660,PHARMACAPS INC.
HAND SANITIZER LIME,20371,63117,SYNCARE PHARMACEUTICAL INC.
ESTRADERM,20372,50564,LANG LABORATORIES
MIEL ROSADA,20373,76772,SANOFI PASTEUR LIMITED
PINE MIX,20374,27862,WORTHY PROMOTIONAL PRODUCTS
LANIAZID,20375,71931,HUDSON RESPIRATORY CARE INC.
ADRENAL TONIC,20376,94939,LABS BIOTHERAX LABORATOIRES
X3 CLEAN,20377,56780,MEDPRODEX INC.
NAUSEA,20378,36501,SOYAWORLD INC.
PRUDOXIN,20379,95200,KERSTIN FLORIAN INTERNATIONAL
CEDAR X PET FORMULA,20380,6993,LEE PHARMACEUTICALS INC.
WEIGHT LOSS RELIEF,20381,67360,NEWAYS INC.
NEUPOGEN,20382,52000,BEBBINGTON INDUSTRIES INCORPORATED
COFFEA CRUDA 30C,20383,86426,PDH HEALTHCARE LTD.
AMERIDERM,20384,83545,A.S.L. INTERNATIONAL
SORREL/DOCK MIX,20385,52832,MEDICAN PHARMA INCORPORATED
STEFANO SPAZIO,20386,84987,NEW VISION NUTRITIONALS COMPANY
GIVLAARI,20387,4545,WINNIPEG REGIONAL HEALTH AUTHORITY
MELILOTUS ALBA,20388,31355,UNDERBERG AG
DR.G REVITAL ENHANCER,20389,67259,LAWSON PRODUCTS INC.
GERM FREE 24 PLUS,20390,74807,RICHMOND PHARMACEUTICALS INC.
AQUA MARIS KIDS,20391,52630,MASSIMO GUARDUCCI SRL
TARGADOX,20392,68913,SAANICH PHARMACY
LOSARTAN POTASSIUM,20393,99503,BRIMMS CANADA INC.
OSTEOTONE,20394,88675,ACME UNITED CORPORATION
ODOMZO,20395,58398,SANOFI PASTEUR LIMITED
COLLAGEN HD AQUA BB,20396,11255,GREENLINE
ATROPINE AND DEMEROL,20397,1561,ORCHARD MANUFACTURING CO. PTY LTD
FLOLIPID,20398,69172,DONG WOO PHARMACEUTICAL CO LTD.
HYDRO-SERP ""25"",20399,7405,RTS INCORPORATED
MEPIVACAINE,20400,47915,PROFESSIONAL VETERINARY LABORATORIES
BROHIST D,20401,90223,NUTRIBON (1986) INC.
OKYONGSOO,20402,32635,AMSCO CANADA INC.
CELLPIUM SHINYLINE,20403,18636,JD NELSON & ASSOCIATES
KE-53PS HAND SANITIZER,20404,85135,STERIDERM CORPORATION
TREATMENT SET TS331796,20405,34604,HERO NUTRITIONAL PRODUCTS OF CANADA INC.
COMTAN,20406,41554,NORTH AMERICAN INFECTION CONTROL LTD
SINCALIDE,20407,43681,MITCHUM DIVISION OF REVLON
